117.193.231.168, cGluIDcyMjkgZmxpZXM=, OK
7.87.92.154, cmVpdGVyYXRlIDEyOTA4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
98.119.71.187, ZGVtb2xpc2ggMTcwMiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
174.19.61.194, YXJ0aWN1bGF0ZSAxMTk2OSBzbWFsbC1iaXJkcw==, OK
143.47.86.16, cmVpdGVyYXRlIDE2NTY0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
64.16.27.235, ZGVtb2xpc2ggMjcxNTIgcGlncw==, OK
222.136.131.236, cmV0cmVhdCAzMjAxNCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
54.219.20.106, YXJ0aWN1bGF0ZSAyNzk5NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
23.53.32.49, ZGVzdHJveSAyNTc1NCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
174.216.79.0, cmV0cmVhdCA3NjM2IGdlZXNl, OK
189.68.97.243, cGx1Y2sgMTIyMDggZ2Vlc2U=, OK
68.141.123.191, cmVpdGVyYXRlIDE5NTk0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
181.69.169.14, ZGVtb2xpc2ggNDQ0OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
52.73.189.64, ZGVzdHJveSAxMjA0MCBjaGlja2Vucw==, OK
42.81.73.43, cGx1Y2sgMTAwNDEgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
113.125.203.149, cGx1Y2sgMTgzOTQgZHVja3M=, OK
115.214.210.138, YXJ0aWN1bGF0ZSAxODI3MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
38.125.255.91, cGx1Y2sgNTM4MiBwaWdz, OK
208.217.176.191, cmVpdGVyYXRlIDIxNzU0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
33.33.127.73, ZGVzdHJveSAxNDUxMiBhbmdyeS1nZWVzZQ==, OK
59.172.148.4, cGljayAxMzc1MCBhbmdyeS1nZWVzZQ==, OK
41.60.4.187, YXJ0aWN1bGF0ZSAzMjY3NyBhbmdyeS1nZWVzZQ==, OK
187.197.228.76, cGx1Y2sgNjQzMiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
108.228.51.175, cGljayA5OTgwIGNoaWNrZW5z, OK
122.219.102.179, cGljayAyNjA2NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
75.121.86.104, cGluIDEwNTg0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
1.0.169.69, Y29udnVsc2UgMjIwMTMgZHVja3M=, OK
110.227.57.206, cGluIDU3NzkgZmxpZXM=, OK
79.219.208.224, YXJ0aWN1bGF0ZSAyODIyNyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
177.221.116.240, cGluIDI3NjMzIGNoaWNrZW5z, OK
18.56.125.33, cGljayA4MDk2IGFuZ3J5LWdlZXNl, OK
163.249.181.55, cGljayAyODkzMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
94.101.65.75, cGx1Y2sgMTkyMjcgZ2Vlc2U=, OK
132.97.96.120, YXJ0aWN1bGF0ZSAzNDUgZmxpZXM=, OK
134.133.26.189, cGluIDI0OTEzIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
132.181.16.212, cmV0cmVhdCAyMzU3MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
223.7.173.155, ZGVzdHJveSAyNjcxOSBmbGllcw==, OK
41.237.57.137, YXJ0aWN1bGF0ZSA4MTc0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
28.106.0.116, ZGVzdHJveSAyNjgwMyBkdWNrcw==, OK
210.134.220.87, ZGVzdHJveSAxNzg1OSBjaGlja2Vucw==, OK
59.200.84.254, ZGVzdHJveSAzMTQ2MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
151.175.243.48, cGljayAxODI5MyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
67.76.92.223, cGljayAxMTkwOCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
169.64.253.192, Y29udnVsc2UgMjI5NDYgY2hpY2tlbnM=, OK
97.221.59.87, Y29uY2VhbCAxMTI2MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
53.82.222.249, ZGVzdHJveSAxNjMxOSBnZWVzZQ==, OK
40.196.246.93, cmVpdGVyYXRlIDMwODIwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
92.187.240.82, Y29udnVsc2UgMTk4OTYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
172.153.224.112, cmV0cmVhdCAzMDEzMiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
84.36.78.65, ZGVzdHJveSAzMDE3OSBhbmdyeS1nZWVzZQ==, OK
136.110.169.60, cGljayAxNTI1OCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
32.229.137.177, cmV2ZWFsIDYwNzEgY2hpY2tlbnM=, OK
113.25.7.248, Y29udnVsc2UgMzE1ODkgZ2Vlc2U=, OK
156.75.44.78, Y29udnVsc2UgMjgxMTEgbWVkaXVtLXNpemVkLWJpcmRz, OK
164.17.57.184, Y29udnVsc2UgMTU5NDEgZHVja3M=, OK
38.207.150.74, YXJ0aWN1bGF0ZSAyMzczNiBwaWdz, OK
80.117.97.217, cmVpdGVyYXRlIDI5NzE0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
121.217.238.54, cmV2ZWFsIDIzNDI2IHBpZ3M=, OK
131.43.202.222, cGluIDE2MzggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
153.91.199.15, cGx1Y2sgMTk1NjIgc21hbGwtYmlyZHM=, OK
122.137.158.78, Y29udnVsc2UgMzE5MDIgYmlnLWJpcmRz, OK
77.8.212.62, cGx1Y2sgMzE4MCBwaWdz, OK
216.169.157.143, cGluIDE3NDEwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
160.60.153.194, cGluIDE2NDU1IHNtYWxsLWJpcmRz, OK
155.103.23.201, cmV2ZWFsIDIzNjk3IHBpZ3M=, OK
12.220.73.92, Y29udnVsc2UgNDg3OCBmbGllcw==, OK
118.207.222.57, YXJ0aWN1bGF0ZSA1NzUxIGR1Y2tz, OK
167.244.98.212, Y29uY2VhbCAyNTQyMyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
35.90.132.245, cmV0cmVhdCAyNDY3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
28.160.225.55, cmVpdGVyYXRlIDI1NDIgc21hbGwtYmlyZHM=, OK
163.249.181.55, cGljayAxOTg3NSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
55.7.124.110, YXJ0aWN1bGF0ZSA3OTggY2hpY2tlbnM=, OK
204.233.20.124, Y29udnVsc2UgMjAzOTIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
32.133.149.99, ZGVzdHJveSAyOTMxNSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
