139.200.123.74, cmVpdGVyYXRlIDcyNDMgZmxpZXM=, OK
83.175.198.242, Y29udnVsc2UgMzk3MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
180.70.93.191, cGljayA4MTM5IGZsaWVz, OK
187.197.228.76, ZGVtb2xpc2ggMTE4NjEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
168.235.122.245, ZGVzdHJveSAzOTUzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
27.92.63.139, YXJ0aWN1bGF0ZSA5NDU1IGNoaWNrZW5z, OK
205.192.24.230, cmVpdGVyYXRlIDMwNDY4IGJpZy1iaXJkcw==, OK
154.79.115.97, YXJ0aWN1bGF0ZSAxOTkyNiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
77.206.49.204, Y29uY2VhbCAxMDM3NSBhbmdyeS1nZWVzZQ==, OK
218.179.133.14, cGluIDE2NjYyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
34.10.85.86, cGx1Y2sgMjkxMDIgcGlncw==, OK
172.5.102.13, cmV2ZWFsIDE0NDc2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
126.207.100.34, Y29uY2VhbCAyOTc1NiBhbmdyeS1nZWVzZQ==, OK
77.27.36.163, Y29udnVsc2UgMTYyNzcgZHVja3M=, OK
21.104.18.181, ZGVzdHJveSAyNjg4NyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
200.209.238.241, Y29uY2VhbCAyNTA5MCBnZWVzZQ==, OK
15.41.161.186, cGluIDEyOTg2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
27.192.142.193, cmVpdGVyYXRlIDI3ODQ2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
77.27.36.163, cmV2ZWFsIDczMjYgc21hbGwtYmlyZHM=, OK
37.76.224.113, dW5waW4gMjQ4OTkgZGlub3NhdXJz, ouch-that-hurt!
178.98.153.174, cGx1Y2sgMTM5MTkgYW5ncnktZ2Vlc2U=, OK
48.61.180.178, ZGVtb2xpc2ggMjc5MyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
144.71.169.219, cGljayAxMTY2IHNtYWxsLWJpcmRz, OK
208.163.4.254, Y29uY2VhbCAyNzQ1OSBjaGlja2Vucw==, OK
193.108.227.203, cGluIDEyNjM4IHBpZ3M=, OK
190.39.174.239, cGljayAyMjgxMCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
172.148.253.18, cmV2ZWFsIDI2Njc4IGJpZy1iaXJkcw==, OK
103.9.195.150, cGx1Y2sgMTk5NDkgYmlnLWJpcmRz, OK
59.240.21.88, Y29uY2VhbCAxMTE5MyBjaGlja2Vucw==, OK
151.192.64.196, cmVpdGVyYXRlIDIzMzQ3IGFuZ3J5LWdlZXNl, OK
85.235.230.238, Y29udnVsc2UgMjc0MjUgY2hpY2tlbnM=, OK
106.24.232.102, Y29uY2VhbCAyNTQ2NSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
161.164.189.123, cGluIDMxMTAzIGR1Y2tz, OK
27.192.142.193, Y29uY2VhbCAyMzg1MSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
164.131.134.217, ZGVzdHJveSAyODQwNyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
134.253.128.13, ZGVzdHJveSAzMTU4IGdlZXNl, OK
52.73.189.64, ZGVtb2xpc2ggMjMxOTIgcGlncw==, OK
80.97.180.7, cmV2ZWFsIDY3NzkgZ2Vlc2U=, OK
173.114.183.77, cmV0cmVhdCA3ODYgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
190.185.233.63, dW5waW4gNjgwNyBwZWFjZS1sb3ZpbmctZ2Vlc2U=, please-make-it-stop
26.18.139.162, YXJ0aWN1bGF0ZSAxODMwMSBhbmdyeS1nZWVzZQ==, OK
208.121.247.230, cGluIDEwMTI3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
156.75.44.78, ZGVtb2xpc2ggMjg2NiBiaWctYmlyZHM=, OK
172.5.102.13, cGluIDE5MzI5IHBpZ3M=, OK
171.39.16.136, YXJ0aWN1bGF0ZSAxNzI4NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
109.33.29.85, cGljayAzMDE4OCBnZWVzZQ==, OK
184.192.56.23, cGx1Y2sgMTExMTkgcGlncw==, OK
84.130.208.220, YXJ0aWN1bGF0ZSA4ODEgcGlncw==, OK
42.73.85.62, cGljayA1MjExIGR1Y2tz, OK
134.253.128.13, YXJ0aWN1bGF0ZSA1OTAzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
45.211.170.19, ZGVzdHJveSA5NTAgY2hpY2tlbnM=, OK
191.241.150.115, ZGVzdHJveSAyODE3MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
132.131.110.230, Y29udnVsc2UgMTE1OCBjaGlja2Vucw==, OK
209.20.179.144, Y29udnVsc2UgNzU0MyBwaWdz, OK
59.240.21.88, cGx1Y2sgMzIzODQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
142.55.4.190, Y29uY2VhbCAzMTI3NiBhbmdyeS1nZWVzZQ==, OK
175.82.110.42, ZGVzdHJveSA4MjM1IGJpZy1iaXJkcw==, OK
143.150.138.122, cGljayAyMDM4MCBkdWNrcw==, OK
133.236.20.28, cGljayAxMzkwNSBjaGlja2Vucw==, OK
183.225.165.240, aW50ZWdyYXRlIDI5OTU0IG1pbm90YXVycw==, why-did-this-have-to-happen
207.242.106.204, cmV2ZWFsIDIzNzgyIHNtYWxsLWJpcmRz, OK
123.81.80.160, cmV2ZWFsIDE3NDY2IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
126.244.122.199, cGluIDI4Njg5IGFuZ3J5LWdlZXNl, OK
164.182.77.3, cmV0cmVhdCAzNDAwIHBpZ3M=, OK
150.227.34.71, cGluIDU0OTUgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
59.240.21.88, cGluIDQ0NCBzbWFsbC1iaXJkcw==, OK
213.174.3.18, cmV0cmVhdCAyODc5MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
190.185.233.63, cmV0cmVhdCAxMDMwNSBjaGlja2Vucw==, OK
130.105.54.122, ZGVzdHJveSA0Mjk1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
208.217.176.191, Y29udnVsc2UgNTAwNiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
107.246.29.240, cGljayAxOTUxIGFuZ3J5LWdlZXNl, OK
36.244.31.251, ZGVtb2xpc2ggMTk3NDUgbWVkaXVtLXNpemVkLWJpcmRz, OK
204.233.20.124, cmV2ZWFsIDMwNDIxIHNtYWxsLWJpcmRz, OK
84.231.185.26, Y29udnVsc2UgMTIwMTEgcGlncw==, OK
220.188.29.212, cGx1Y2sgMjM1NzAgZ2Vlc2U=, OK
143.39.8.178, YXJ0aWN1bGF0ZSAyMjkzNSBnZWVzZQ==, OK
19.219.213.164, Y29udnVsc2UgMTk3NTQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
122.79.46.242, cmV2ZWFsIDkxODkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
73.5.245.228, cGljayAxNTc1NCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
90.104.161.151, dW5waW4gMjgzMjYgZGlub3NhdXJz, please-make-it-stop
91.115.216.159, cmV0cmVhdCAyNjc5NSBiaWctYmlyZHM=, OK
219.82.169.60, Y29udnVsc2UgMTk2NjkgYmlnLWJpcmRz, OK
221.145.151.20, cmV2ZWFsIDE1MzQyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
210.74.24.17, Y29udnVsc2UgMzE2OTUgc21hbGwtYmlyZHM=, OK
174.102.225.238, ZGVzdHJveSA1NzggZmxpZXM=, OK
207.112.82.74, cGluIDI4Mjk5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
35.83.29.145, cmVpdGVyYXRlIDIzMzUyIGZsaWVz, OK
205.192.24.230, Y29uY2VhbCAzMTA1NiBmbGllcw==, OK
52.73.189.64, cmV2ZWFsIDQyMTAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
99.114.207.121, YXJ0aWN1bGF0ZSAzMDYwOCBnZWVzZQ==, OK
36.110.253.88, cGluIDE0NDYxIHBpZ3M=, OK
178.238.17.215, cGluIDQ0MjggZ2Vlc2U=, OK
7.155.96.182, cmV2ZWFsIDIxNjg4IHNtYWxsLWJpcmRz, OK
72.247.208.192, ZGVtb2xpc2ggNzk4MiBjaGlja2Vucw==, OK
168.17.134.37, cGluIDMwODk2IGFuZ3J5LWdlZXNl, OK
173.24.251.179, cmV0cmVhdCAxMjYzOSBjaGlja2Vucw==, OK
3.199.90.63, cGljayAzMjU4NyBkdWNrcw==, OK
222.136.131.236, cmV2ZWFsIDE4MTcgbWVkaXVtLXNpemVkLWJpcmRz, OK
23.187.186.224, cmVpdGVyYXRlIDI0OTIzIHBpZ3M=, OK
161.123.142.23, dW5waW4gMTAzOTggcGVhY2UtbG92aW5nLWdlZXNl, my-socket-is-on-fire!
