41.237.57.137, cGljayAyMDgzMCBwaWdz, OK
104.58.96.37, cGljayAyODM1NiBnZWVzZQ==, OK
211.190.183.113, cGx1Y2sgMjY0MjIgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
37.76.224.113, cGljayAxMDk2MCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
151.192.64.196, YXJ0aWN1bGF0ZSAxOTA2MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
86.221.146.42, cmVpdGVyYXRlIDk2MTAgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
215.72.153.2, cmVpdGVyYXRlIDI0NzMxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
30.19.1.172, cGljayAyOTU3MCBjaGlja2Vucw==, OK
37.184.197.233, cGluIDMyNjQ2IHNtYWxsLWJpcmRz, OK
107.122.69.67, cGx1Y2sgMTY3NDQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
63.132.173.121, cGx1Y2sgMTgyMzAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
63.132.173.121, cGx1Y2sgNTE3MCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
102.215.173.86, cmVpdGVyYXRlIDI2Njc3IGFuZ3J5LWdlZXNl, OK
15.41.161.186, cGx1Y2sgMjE4NTcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
175.82.110.42, Y29uY2VhbCAzMDg3NCBkdWNrcw==, OK
11.156.239.75, ZGVzdHJveSAyOTM1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
130.65.15.183, cmVpdGVyYXRlIDE1OTEwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
129.54.11.77, cmVpdGVyYXRlIDI3MDk2IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
94.154.88.171, ZGVtb2xpc2ggNDY0OSBwaWdz, OK
102.89.93.74, Y29uY2VhbCAyMTg4OCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
169.64.253.192, YXJ0aWN1bGF0ZSA2NzgwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
22.244.29.56, ZGVzdHJveSAxMDMzMiBhbmdyeS1nZWVzZQ==, OK
74.250.118.193, cGljayAxNDQ3MyBhbmdyeS1nZWVzZQ==, OK
113.68.255.66, cGx1Y2sgNDE1OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
57.183.63.73, Y29udnVsc2UgNzUyMCBnZWVzZQ==, OK
190.185.233.63, cGluIDI1ODQ1IGR1Y2tz, OK
219.236.13.46, cmV2ZWFsIDgzOTEgYmlnLWJpcmRz, OK
190.170.121.219, cGljayAxMjY0MSBjaGlja2Vucw==, OK
