151.96.0.150, cmVpdGVyYXRlIDQwMjcgZmxpZXM=, OK
194.84.7.254, Y29udnVsc2UgMTYwOTEgcGlncw==, OK
126.23.255.218, Y29udnVsc2UgOTM5IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
187.197.175.73, cGluIDIzMTA3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
39.118.32.25, ZGVtb2xpc2ggMzA0NzAgZmxpZXM=, OK
114.26.27.218, cmV2ZWFsIDE4MjI2IGNoaWNrZW5z, OK
131.43.202.222, Y29uY2VhbCAzMDc1OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
167.236.64.71, ZGVzdHJveSAyODc5OCBwaWdz, OK
133.78.35.156, cGluIDE2MDI4IHNtYWxsLWJpcmRz, OK
110.227.57.206, cmV2ZWFsIDM3MzcgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
98.27.205.206, cGluIDQ0NjEgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
42.58.54.6, Y29udnVsc2UgMjE0NjUgbWVkaXVtLXNpemVkLWJpcmRz, OK
18.219.90.216, ZGVzdHJveSAzMTY5OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
44.187.69.122, cmV0cmVhdCAxMDg3MiBmbGllcw==, OK
30.19.1.172, cGx1Y2sgMTg1NDAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
193.234.202.135, cGx1Y2sgMzA5NzYgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
203.14.64.195, Y29uY2VhbCAxMDY2IGNoaWNrZW5z, OK
184.37.94.136, cmV0cmVhdCA2NjgyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
66.147.133.216, cmVpdGVyYXRlIDI4NjY3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
59.69.208.231, Y29udnVsc2UgMTkwOSBwaWdz, OK
91.124.190.109, YXJ0aWN1bGF0ZSAxMDE0NyBkdWNrcw==, OK
97.227.93.173, cGluIDI2NjU3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
98.119.71.187, cGx1Y2sgMjkwMzEgYW5ncnktZ2Vlc2U=, OK
28.38.110.118, Y29uY2VhbCA4NTc4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
70.143.216.196, Y29uY2VhbCAxMzM1MyBwaWdz, OK
92.187.240.82, cmV0cmVhdCA2ODg5IHBpZ3M=, OK
3.195.171.141, cmV2ZWFsIDI0ODczIHBpZ3M=, OK
79.105.75.119, Y29uY2VhbCAxNTA2MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
186.128.208.205, cGx1Y2sgNjkwNiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
70.140.187.114, YXJ0aWN1bGF0ZSAyNTg5MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
189.68.97.243, cmV2ZWFsIDg2MTIgZmxpZXM=, OK
193.108.227.203, Y29uY2VhbCAzMjAzOCBzbWFsbC1iaXJkcw==, OK
83.149.109.201, Y29uY2VhbCAxMTY0NiBhbmdyeS1nZWVzZQ==, OK
75.151.226.170, cGluIDMwMjcwIHBpZ3M=, OK
181.40.121.156, YXJ0aWN1bGF0ZSAzMTI2OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
203.24.97.180, cGluIDcxNjcgcGlncw==, OK
