191.52.203.199, cGljayAyNDcwNiBkdWNrcw==, OK
94.154.88.171, ZGVzdHJveSAxOTc4NSBwaWdz, OK
89.241.196.237, cGluIDI0ODkzIGR1Y2tz, OK
145.134.33.91, Y29udnVsc2UgMzExNzcgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
208.163.4.254, cGluIDMxODk3IHNtYWxsLWJpcmRz, OK
52.116.109.227, YXJ0aWN1bGF0ZSAxODAxNyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
174.19.61.194, YXJ0aWN1bGF0ZSAxMjYwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
106.92.123.74, ZGVtb2xpc2ggODk1NSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
26.245.224.93, cmV0cmVhdCAyOTI5MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
186.31.175.77, cGljayAxNzQ3NCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
101.4.199.42, ZGVtb2xpc2ggMTY2NzQgYW5ncnktZ2Vlc2U=, OK
162.93.114.141, cGx1Y2sgMjA0NjEgbWVkaXVtLXNpemVkLWJpcmRz, OK
75.58.202.188, cmVpdGVyYXRlIDczNjUgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
139.36.156.243, cmV2ZWFsIDEyODAgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
211.72.245.20, cmVpdGVyYXRlIDE3NzcwIHBpZ3M=, OK
87.69.250.11, cmV0cmVhdCAzMDE5OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
71.119.124.63, Y29udnVsc2UgMjI0OTAgbWVkaXVtLXNpemVkLWJpcmRz, OK
199.115.113.213, Y29uY2VhbCAyMTQ4MiBhbmdyeS1nZWVzZQ==, OK
183.225.165.240, Y29uY2VhbCAxMzE2MCBwaWdz, OK
177.19.165.78, Y29udnVsc2UgMTQ1MDUgY2hpY2tlbnM=, OK
144.137.248.95, cGx1Y2sgNjk2MiBzbWFsbC1iaXJkcw==, OK
101.4.199.42, YXJ0aWN1bGF0ZSA4ODc5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
219.82.76.35, cmV2ZWFsIDI0MTIyIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
131.255.185.165, ZGVzdHJveSA0MDY4IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
179.195.108.126, cGluIDk3NjUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
160.154.221.44, cmV2ZWFsIDE3ODc0IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
179.195.108.126, ZGVzdHJveSAyOTI1NiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
121.239.14.214, ZGVzdHJveSA2NzQ5IGFuZ3J5LWdlZXNl, OK
75.109.192.238, Y29uY2VhbCA0NjA4IGFuZ3J5LWdlZXNl, OK
4.40.197.109, YXJ0aWN1bGF0ZSA3NjIgZ2Vlc2U=, OK
71.119.124.63, cmV2ZWFsIDExODU3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
13.202.58.234, cGljayAzMDkzMCBhbmdyeS1nZWVzZQ==, OK
28.160.225.55, cmV0cmVhdCAxMzM3NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
12.17.53.194, ZGVzdHJveSAxODU0MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
6.247.137.205, Y29uY2VhbCAxODc4MyBwaWdz, OK
86.227.74.249, cmV2ZWFsIDQwNzUgZmxpZXM=, OK
194.33.75.65, cmVpdGVyYXRlIDY1MjMgc21hbGwtYmlyZHM=, OK
161.123.142.23, cmVpdGVyYXRlIDE3Njc4IGFuZ3J5LWdlZXNl, OK
186.128.208.205, YXJ0aWN1bGF0ZSAyNzQ5NyBwaWdz, OK
164.97.199.127, cGluIDI5ODkyIGJpZy1iaXJkcw==, OK
171.39.16.136, cGx1Y2sgMTc0MDIgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
144.137.248.95, Y29udnVsc2UgMjU5ODQgZHVja3M=, OK
184.192.56.23, Y29udnVsc2UgMTUyNTQgZHVja3M=, OK
54.219.20.106, cmV2ZWFsIDE1NzExIGJpZy1iaXJkcw==, OK
160.60.153.194, cmV2ZWFsIDMyMDE2IGJpZy1iaXJkcw==, OK
55.196.129.42, cGljayAzMDY2OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
63.184.127.127, cGluIDYxNjggYW5ncnktZ2Vlc2U=, OK
167.236.64.71, cGx1Y2sgMjEyNDUgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
88.229.26.95, cmV2ZWFsIDgwMTQgZmxpZXM=, OK
45.247.136.64, Y29uY2VhbCAzMDAxOSBjaGlja2Vucw==, OK
124.32.23.26, cmV2ZWFsIDQyMDkgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
200.172.54.195, Y29udnVsc2UgMzEwMDAgc21hbGwtYmlyZHM=, OK
180.70.93.191, Y29uY2VhbCAxMTI3NSBjaGlja2Vucw==, OK
155.103.23.201, cGx1Y2sgMTc3ODMgc21hbGwtYmlyZHM=, OK
222.45.211.196, Y29uY2VhbCAxMzI3MyBwaWdz, OK
74.70.19.34, ZGVzdHJveSAxODY4MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
45.34.234.145, cmV2ZWFsIDI0NTQzIGdlZXNl, OK
163.170.246.157, cmV2ZWFsIDEzNjc1IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
55.165.2.49, ZGVtb2xpc2ggNzM4MCBkdWNrcw==, OK
201.69.142.160, cGluIDMwODM5IGZsaWVz, OK
38.125.255.91, cmV2ZWFsIDE0MTI5IHNtYWxsLWJpcmRz, OK
38.207.150.74, Y29udnVsc2UgMTE5MzkgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
7.155.96.182, cmV2ZWFsIDc1OSBwaWdz, OK
148.153.164.44, cGluIDI3OTkxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
43.233.192.233, ZGVtb2xpc2ggMTA2NzUgc21hbGwtYmlyZHM=, OK
27.116.58.49, Y29udnVsc2UgNDY2MSBmbGllcw==, OK
62.182.175.148, cGljayAxMjI1NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
215.185.58.173, ZGVtb2xpc2ggMjIzMTEgY2hpY2tlbnM=, OK
32.167.214.50, Y29udnVsc2UgMTQxNDQgZHVja3M=, OK
123.126.202.63, Y29udnVsc2UgMTYzNzcgZmxpZXM=, OK
57.248.30.63, cGx1Y2sgMjQyMDkgZHVja3M=, OK
59.172.148.4, YXJ0aWN1bGF0ZSAxNjU3NiBnZWVzZQ==, OK
118.64.72.33, Y29uY2VhbCAzMjM3NyBnZWVzZQ==, OK
22.177.40.26, cmV0cmVhdCAxNTA3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
204.233.20.124, cGljayAyMjg4MyBjaGlja2Vucw==, OK
166.215.144.58, YXJ0aWN1bGF0ZSAxMjg4MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
18.56.125.33, cmV2ZWFsIDM4MzcgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
216.176.90.137, cGljayAxODI1MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
159.23.228.154, cmV0cmVhdCAyOTE2MSBhbmdyeS1nZWVzZQ==, OK
88.150.156.49, Y29udnVsc2UgMTU5MTAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
172.94.13.185, ZGVtb2xpc2ggMjkzNTEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
64.154.46.58, cmVpdGVyYXRlIDQ0MTIgYW5ncnktZ2Vlc2U=, OK
98.27.205.206, YXJ0aWN1bGF0ZSAyMzU1OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
191.64.227.252, ZGVzdHJveSAxNjY3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
142.5.234.13, cmV2ZWFsIDkzNjAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
193.108.227.203, cGluIDIyMjM2IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
55.25.215.34, cmVpdGVyYXRlIDM5NDMgcGlncw==, OK
37.235.107.138, cGluIDI1MDc2IGFuZ3J5LWdlZXNl, OK
91.74.8.103, Y29udnVsc2UgMTA5OTAgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
37.235.107.138, cmV2ZWFsIDE5ODU0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
185.112.236.111, cGluIDM3NDEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
216.216.121.251, cmV0cmVhdCAxMjQ1NyBkdWNrcw==, OK
208.96.107.241, ZGVtb2xpc2ggMjIyMjEgZ2Vlc2U=, OK
47.43.97.11, cGluIDM2NTMgYW5ncnktZ2Vlc2U=, OK
26.62.22.221, ZGVtb2xpc2ggMjE4NzAgY2hpY2tlbnM=, OK
