92.111.49.117, ZGVzdHJveSAyNzgzNiBkdWNrcw==, OK
148.204.235.218, ZGVtb2xpc2ggMTk0MDggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
58.204.52.96, cmV2ZWFsIDEyNzUzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
7.89.147.240, cGluIDE1OTYzIGJpZy1iaXJkcw==, OK
7.87.92.154, cGluIDI5NzUxIGR1Y2tz, OK
35.3.107.248, Y29udnVsc2UgMTc1MzQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
199.115.113.213, cGljayA5NTEwIGR1Y2tz, OK
37.184.197.233, ZGVzdHJveSAyMTI3MCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
165.251.5.108, ZGVtb2xpc2ggMjA4MjAgZHVja3M=, OK
72.255.208.229, cGx1Y2sgMTcwMyBkdWNrcw==, OK
155.237.212.159, YXJ0aWN1bGF0ZSAyMTg5NCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
58.252.89.228, cGljayAyMDk4MiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
18.44.205.35, Y29udnVsc2UgMTcxNDggYW5ncnktZ2Vlc2U=, OK
134.253.128.13, cmV2ZWFsIDEwMDYyIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
22.244.29.56, cGljayAzMjE3OSBiaWctYmlyZHM=, OK
163.249.181.55, cmVpdGVyYXRlIDE5MjQ2IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
110.133.161.71, ZGVzdHJveSAzMTU2MiBmbGllcw==, OK
56.150.110.224, cmV2ZWFsIDI3MTY0IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
42.58.54.6, cGljayA0ODg4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
21.3.112.225, ZGVzdHJveSAxNjkxNiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
204.233.20.124, Y29udnVsc2UgMTcyMTcgZHVja3M=, OK
206.36.183.27, ZGVtb2xpc2ggMTU5ODYgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
