42.81.73.43, cGluIDIwMCBiaWctYmlyZHM=, OK
170.50.205.24, Y29udnVsc2UgMjc3ODMgbWVkaXVtLXNpemVkLWJpcmRz, OK
55.228.143.59, YXJ0aWN1bGF0ZSAxNjgyNSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
11.97.202.168, cmV2ZWFsIDExMDAyIGdlZXNl, OK
84.44.84.180, ZGVtb2xpc2ggMTY3ODAgYW5ncnktZ2Vlc2U=, OK
191.52.203.199, cmV2ZWFsIDE3MDc4IGZsaWVz, OK
172.94.13.185, ZGVtb2xpc2ggMzA0NCBiaWctYmlyZHM=, OK
155.237.212.159, Y29udnVsc2UgMTUxNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
121.134.42.101, cmVpdGVyYXRlIDE0NTgzIGFuZ3J5LWdlZXNl, OK
159.193.174.124, cGluIDk1MDkgZ2Vlc2U=, OK
119.113.194.88, cGljayAzMTUyMiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
42.58.54.6, YXJ0aWN1bGF0ZSAxMzE2NyBhbmdyeS1nZWVzZQ==, OK
39.229.112.176, cmV2ZWFsIDI5MDYwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
79.213.236.217, YXJ0aWN1bGF0ZSA1OTA0IGZsaWVz, OK
186.179.1.8, ZGVtb2xpc2ggMTU4NSBnZWVzZQ==, OK
79.105.75.119, cGx1Y2sgMTU5MDYgZmxpZXM=, OK
119.54.136.255, cGluIDE3NjU5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
11.193.244.225, Y29udnVsc2UgMTA4OTEgYW5ncnktZ2Vlc2U=, OK
66.210.170.112, cGluIDI0MDgxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
208.96.107.241, aW50ZWdyYXRlIDUzOTEgcGVhY2UtbG92aW5nLWdlZXNl, why-did-this-have-to-happen
159.197.26.7, cmV0cmVhdCAyNzYyNiBhbmdyeS1nZWVzZQ==, OK
121.108.153.63, Y29udnVsc2UgMTcxNSBkdWNrcw==, OK
54.117.196.173, cmV0cmVhdCAyMjYzNCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
175.36.51.26, YXJ0aWN1bGF0ZSA3MTE4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
5.31.52.103, cGx1Y2sgNTA0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
45.247.136.64, Y29uY2VhbCAxOTY2IHBpZ3M=, OK
28.68.43.239, cGluIDMxODIgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
32.229.137.177, YXJ0aWN1bGF0ZSAxMTEwIGZsaWVz, OK
187.197.228.76, cGljayAyNzQyMSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
45.184.151.102, ZGVzdHJveSAxMDA3OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
171.39.16.136, ZGVtb2xpc2ggMjU2NjAgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
172.153.224.112, ZGVzdHJveSA5OTc2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
103.60.230.43, ZGVtb2xpc2ggMjc0MTIgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
74.35.34.135, cGluIDE5ODU0IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
48.61.180.178, Y29udnVsc2UgMjM3MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
69.82.55.102, Y29uY2VhbCAyMjYzMiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
222.252.126.133, YXJ0aWN1bGF0ZSA2MDM3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
66.106.115.46, cmVpdGVyYXRlIDIzNTIxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
31.9.94.134, cmVpdGVyYXRlIDE2Mjk5IHBpZ3M=, OK
75.121.86.104, dW5kZXJzdGFuZCAxMzE3MCBkaW5vc2F1cnM=, ouch-that-hurt!
157.33.133.180, ZGVzdHJveSA0NTgwIGJpZy1iaXJkcw==, OK
77.206.49.204, cmV0cmVhdCA5NjczIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
211.112.192.227, cGljayA3MDk2IGZsaWVz, OK
