112.125.102.212, ZGVzdHJveSAxMzQzOCBnZWVzZQ==, OK
219.82.169.60, cmVpdGVyYXRlIDIwMDI5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
200.209.238.241, YXJ0aWN1bGF0ZSAyNjM1IHBpZ3M=, OK
55.115.224.56, cGljayAxMjIzIHBpZ3M=, OK
63.69.169.175, cmVpdGVyYXRlIDQ4NDkgbWVkaXVtLXNpemVkLWJpcmRz, OK
1.0.169.69, Y29uY2VhbCA3NTcyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
153.91.199.15, cGljayAzNDAxIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
216.176.90.137, cGluIDE2MTUyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
31.37.10.46, cGx1Y2sgMTA5MzMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
186.128.208.205, cGx1Y2sgMTA4NjMgYmlnLWJpcmRz, OK
24.169.27.44, cmVpdGVyYXRlIDExNzY3IGNoaWNrZW5z, OK
86.211.249.187, Y29uY2VhbCAxNTIwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
58.43.141.197, cGluIDEwNDQ4IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
36.244.31.251, cmV0cmVhdCA4NTExIHBpZ3M=, OK
36.244.31.251, cGluIDI0MTExIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
59.69.208.231, cmVpdGVyYXRlIDEyNDE2IGdlZXNl, OK
91.206.217.101, ZGVzdHJveSAzMjcwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
39.229.112.176, ZGVzdHJveSA4OTU1IGZsaWVz, OK
80.97.180.7, ZGVzdHJveSAxNzM2MyBzbWFsbC1iaXJkcw==, OK
69.82.55.102, ZGVtb2xpc2ggMjI0NTggYW5ncnktZ2Vlc2U=, OK
43.193.231.160, Y29udnVsc2UgMTA1MjEgc21hbGwtYmlyZHM=, OK
18.219.90.216, ZGVzdHJveSAxMzI5OCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
114.203.61.60, Y29udnVsc2UgMjU5NyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
220.188.29.212, cGluIDI4MDI5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
48.47.163.88, Y29udnVsc2UgMzAwMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
178.238.17.215, ZGVzdHJveSAyMjY5OCBjaGlja2Vucw==, OK
36.8.115.64, Y29uY2VhbCA4MzUwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
