185.112.236.111, cGljayAyMzYxMiBkdWNrcw==, OK
126.244.122.199, cmV0cmVhdCAyNjE3MCBmbGllcw==, OK
83.221.222.1, Y29udnVsc2UgMjIwOTQgbWVkaXVtLXNpemVkLWJpcmRz, OK
172.148.253.18, cGljayAxODYxMCBwaWdz, OK
159.197.26.7, cGluIDM0NDcgc21hbGwtYmlyZHM=, OK
39.32.158.172, cmV2ZWFsIDE3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
144.71.169.219, Y29udnVsc2UgMTA3NTcgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
12.176.204.152, cGluIDI0NzIxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
28.160.225.55, ZGVtb2xpc2ggMjEwNzggZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
190.39.174.239, cGluIDIyMzQzIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
71.48.84.6, cmVpdGVyYXRlIDE0ODUxIGFuZ3J5LWdlZXNl, OK
222.45.211.196, cGluIDI1Nzg5IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
26.62.22.221, Y29udnVsc2UgMzU1NyBwaWdz, OK
8.101.130.72, cGx1Y2sgMjMzNzUgc21hbGwtYmlyZHM=, OK
11.74.142.72, cmV0cmVhdCA3MDc4IGZsaWVz, OK
221.234.176.73, YXJ0aWN1bGF0ZSAxMjgxMiBzbWFsbC1iaXJkcw==, OK
97.173.112.180, cGluIDI0NTgyIGR1Y2tz, OK
70.140.187.114, cmV2ZWFsIDI2MzA0IGR1Y2tz, OK
155.159.11.151, cGx1Y2sgMTM1ODEgY2hpY2tlbnM=, OK
217.245.162.54, cGljayAyMTM4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
168.235.122.245, cGluIDMyMzYzIGR1Y2tz, OK
90.104.161.151, YXJ0aWN1bGF0ZSAxNjMzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
39.118.32.25, cmVpdGVyYXRlIDMyMTc1IGJpZy1iaXJkcw==, OK
7.137.31.5, cmV2ZWFsIDIwNzY5IGdlZXNl, OK
7.89.147.240, ZXhwbGFpbiAzMjU1MyBtaW5vdGF1cnM=, i-can't-even-comprehend-what-you-are-saying
179.195.108.126, ZGVtb2xpc2ggMTA2MSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
46.124.61.188, Y29udnVsc2UgMjk0NDAgcGlncw==, OK
215.68.230.68, ZGVtb2xpc2ggMTIzMzggZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
23.245.212.57, cGx1Y2sgMzA2MjQgbWVkaXVtLXNpemVkLWJpcmRz, OK
124.64.54.232, cGx1Y2sgMjgzMzAgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
174.190.224.216, Y29udnVsc2UgMTA2OTUgZHVja3M=, OK
205.114.97.7, Y29uY2VhbCAxMDgwNyBkdWNrcw==, OK
32.133.149.99, ZGVtb2xpc2ggMTMzNDEgYW5ncnktZ2Vlc2U=, OK
211.23.26.61, cmVpdGVyYXRlIDIxMzU1IHBpZ3M=, OK
125.232.68.51, Y29udnVsc2UgMzE4NDQgZ2Vlc2U=, OK
28.106.0.116, cmVpdGVyYXRlIDE0ODI3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
187.197.175.73, Y29uY2VhbCAyNjU1MSBnZWVzZQ==, OK
97.173.112.180, cmVpdGVyYXRlIDExNDAgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
35.83.29.145, cmV0cmVhdCAyNjE3MyBkdWNrcw==, OK
12.17.53.194, cmV0cmVhdCAyMjY0NiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
107.232.94.170, cGluIDEwMzg5IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
47.89.152.15, cmVpdGVyYXRlIDEwMzI5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
139.160.25.10, YXJ0aWN1bGF0ZSAzMDYwOCBhbmdyeS1nZWVzZQ==, OK
66.210.170.112, cmV0cmVhdCAyNDEwNSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
185.112.236.111, Y29udnVsc2UgMjUzOTEgc21hbGwtYmlyZHM=, OK
66.106.115.46, cmVpdGVyYXRlIDMxNTk5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
210.134.220.87, cGljayAyMjU2IHNtYWxsLWJpcmRz, OK
136.127.113.206, Y29uY2VhbCAyMTQ0MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
11.97.202.168, cGljayAyMzI3NiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
103.105.226.142, ZXhwbGFpbiAxODEzOCBkaW5vc2F1cnM=, why-did-this-have-to-happen
64.16.27.235, cGluIDUyMSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
81.230.172.49, YXJ0aWN1bGF0ZSA5OTA0IHNtYWxsLWJpcmRz, OK
7.137.31.5, ZGVtb2xpc2ggMTg0MDUgYW5ncnktZ2Vlc2U=, OK
136.127.113.206, YXJ0aWN1bGF0ZSAxNDgwIHBpZ3M=, OK
166.235.172.246, Y29uY2VhbCA1NDg2IGNoaWNrZW5z, OK
158.246.116.55, cGluIDExMjQ4IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
1.0.169.69, Y29udnVsc2UgMzEwMSBjaGlja2Vucw==, OK
27.149.50.25, YXJ0aWN1bGF0ZSA5MzAzIHBpZ3M=, OK
168.17.134.37, cmV0cmVhdCA4OTIyIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
84.103.102.99, cmV0cmVhdCAyMzUwNyBzbWFsbC1iaXJkcw==, OK
109.33.29.85, ZGVzdHJveSA0MTAyIGdlZXNl, OK
5.237.235.172, cmVpdGVyYXRlIDExNjgxIGJpZy1iaXJkcw==, OK
19.219.213.164, cGljayAxMDkzMyBzbWFsbC1iaXJkcw==, OK
188.8.17.28, cGljayAxNzU2OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
46.124.61.188, ZGVtb2xpc2ggMTM1NSBjaGlja2Vucw==, OK
33.33.127.73, cGluIDIyMzE3IGJpZy1iaXJkcw==, OK
