202.82.241.179, cGljayAyODUyMyBkdWNrcw==, OK
210.88.110.118, YXJ0aWN1bGF0ZSAyMDM1NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
212.199.79.147, ZGVzdHJveSAxNTY0NCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
108.38.251.104, cGljayAyMTUyNSBwaWdz, OK
66.210.170.112, cGx1Y2sgMTc4ODUgbWVkaXVtLXNpemVkLWJpcmRz, OK
22.244.29.56, cmVpdGVyYXRlIDE5MTUwIGFuZ3J5LWdlZXNl, OK
58.142.147.119, ZGVtb2xpc2ggNjkzMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
90.98.142.173, ZGVtb2xpc2ggMjI1NjIgZmxpZXM=, OK
43.170.207.48, cmV0cmVhdCA1MzYyIGZsaWVz, OK
75.109.192.238, cmV2ZWFsIDIxMjMxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
167.236.64.71, Y29udnVsc2UgNDMgbWVkaXVtLXNpemVkLWJpcmRz, OK
175.83.206.13, cGljayAxODgwMCBhbmdyeS1nZWVzZQ==, OK
147.72.202.204, cGx1Y2sgMTkwNjkgYmlnLWJpcmRz, OK
18.44.139.138, ZGVtb2xpc2ggMTM2MjYgYmlnLWJpcmRz, OK
70.143.216.196, cmV2ZWFsIDgyOTcgZHVja3M=, OK
181.69.169.14, Y29udnVsc2UgMTkyMTYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
115.66.122.198, cmVpdGVyYXRlIDc5NTcgY2hpY2tlbnM=, OK
216.176.90.137, cmV0cmVhdCA1OTc1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
14.173.189.49, cGluIDI3NDgyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
171.96.216.242, YXJ0aWN1bGF0ZSAyMTM4NyBwaWdz, OK
22.244.29.56, cGljayAxNzU2NCBzbWFsbC1iaXJkcw==, OK
201.105.148.137, YXJ0aWN1bGF0ZSAyMTU4MCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
121.239.14.214, cmV2ZWFsIDI2MDkzIGNoaWNrZW5z, OK
133.13.240.200, cmV2ZWFsIDIyNDg1IHNtYWxsLWJpcmRz, OK
47.89.152.15, ZGVzdHJveSA5NDUzIGNoaWNrZW5z, OK
44.187.69.122, cmV2ZWFsIDI2NjkyIHNtYWxsLWJpcmRz, OK
77.27.36.163, Y29udnVsc2UgMzE3MTUgYW5ncnktZ2Vlc2U=, OK
18.219.90.216, cGx1Y2sgMjA2NTYgY2hpY2tlbnM=, OK
157.33.133.180, cGx1Y2sgMjQ4OTIgZ2Vlc2U=, OK
31.37.10.46, cmV2ZWFsIDE0Mzc3IHBpZ3M=, OK
24.99.194.97, Y29udnVsc2UgMjY1NTEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
45.112.153.234, ZGVzdHJveSAxNDIwOSBkdWNrcw==, OK
150.254.12.177, ZGVzdHJveSAzMzE4IHNtYWxsLWJpcmRz, OK
65.44.5.45, cmV2ZWFsIDEyMjA1IGZsaWVz, OK
145.178.26.187, cmV0cmVhdCAxNjcyNiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
182.160.81.160, ZGVzdHJveSAxNDcyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
5.147.5.175, cGljayAyNjAwMSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
190.185.233.63, cGluIDEzNTE5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
219.82.76.35, cGljayAzODE0IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
42.73.85.62, aW50ZWdyYXRlIDI4NzgyIHBlYWNlLWxvdmluZy1nZWVzZQ==, i-can't-even-comprehend-what-you-are-saying
72.105.145.138, Y29uY2VhbCAyOTAxMiBwaWdz, OK
94.68.24.243, cmV2ZWFsIDQ5MjEgY2hpY2tlbnM=, OK
26.18.139.162, cmV0cmVhdCAxMDA1OSBwaWdz, OK
160.187.242.47, cGx1Y2sgMTI1NjMgc21hbGwtYmlyZHM=, OK
27.149.50.25, cmVpdGVyYXRlIDE0NzYzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
33.165.254.175, Y29uY2VhbCA2NTEgZ2Vlc2U=, OK
21.104.18.181, cmVpdGVyYXRlIDI0ODM2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
160.187.242.47, cGx1Y2sgMjk2MjEgZmxpZXM=, OK
33.115.72.245, cGluIDEwNzQzIHBpZ3M=, OK
83.175.198.242, cGx1Y2sgMTAyMjkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
217.245.162.54, cGx1Y2sgMTU0NTIgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
45.112.153.234, ZGVzdHJveSAzMDYwNSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
162.89.46.165, cmV0cmVhdCAyODAyNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
3.199.90.63, ZGVtb2xpc2ggMTYwMjYgbWVkaXVtLXNpemVkLWJpcmRz, OK
103.60.230.43, cGluIDI5MTUxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
158.224.50.227, cmVpdGVyYXRlIDI2NTMwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
153.98.193.155, cmV0cmVhdCAyOTkyOCBnZWVzZQ==, OK
106.239.239.226, cmVpdGVyYXRlIDQyOTMgY2hpY2tlbnM=, OK
105.160.114.234, ZGVtb2xpc2ggNjE2NCBwaWdz, OK
179.117.113.215, Y29udnVsc2UgMTk2MDggYW5ncnktZ2Vlc2U=, OK
206.36.183.27, cmV2ZWFsIDMyNTMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
