96.197.47.131, cGluIDEzMzUwIHNtYWxsLWJpcmRz, OK
135.94.212.64, Y29uY2VhbCAyMTM3MSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
87.187.70.176, cmVpdGVyYXRlIDIzOTY0IGZsaWVz, OK
99.114.207.121, cmVpdGVyYXRlIDMxODAyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
63.213.255.41, Y29udnVsc2UgMTU1ODMgc21hbGwtYmlyZHM=, OK
4.73.166.72, cGljayAzNDcwIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
216.169.157.143, ZGVzdHJveSA4NjAgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
66.210.170.112, cGljayAyNTEwOCBwaWdz, OK
147.123.69.97, YXJ0aWN1bGF0ZSAxOTY3OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
48.47.163.88, cmV0cmVhdCA5MDE1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
182.63.34.138, ZGVtb2xpc2ggMjgxNjMgZ2Vlc2U=, OK
181.78.43.85, cGx1Y2sgODUzOCBwaWdz, OK
180.210.114.96, cmV2ZWFsIDY3MjUgcGlncw==, OK
15.41.161.186, ZGVzdHJveSAxNDg0MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
155.81.182.228, ZGVtb2xpc2ggMjg0NzEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
159.197.26.7, ZGVzdHJveSA0MDc5IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
167.236.64.71, Y29udnVsc2UgMjY5MjYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
88.1.240.178, cmVpdGVyYXRlIDI5MDg3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
67.76.92.223, cmVpdGVyYXRlIDY1MDQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
8.96.140.117, cmVpdGVyYXRlIDI2NDQ2IGJpZy1iaXJkcw==, OK
98.199.198.28, cGljayAxMzkyOCBnZWVzZQ==, OK
206.36.183.27, cmV0cmVhdCAzMDE4MyBkdWNrcw==, OK
210.152.56.48, Y29udnVsc2UgMTA5NDUgc21hbGwtYmlyZHM=, OK
179.117.113.215, Y29udnVsc2UgOTY5NCBzbWFsbC1iaXJkcw==, OK
163.170.246.157, cmV0cmVhdCAyMjk1OCBkdWNrcw==, OK
97.3.92.167, YXJ0aWN1bGF0ZSA2NTUzIGR1Y2tz, OK
84.159.97.248, Y29udnVsc2UgMzE0NzIgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
113.172.153.51, cmV0cmVhdCAyODkxMyBzbWFsbC1iaXJkcw==, OK
189.68.97.243, Y29uY2VhbCAyOTIzNCBwaWdz, OK
13.202.58.234, cGljayAxNjMyOCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
110.227.57.206, ZGVtb2xpc2ggNjM0IGJpZy1iaXJkcw==, OK
5.150.87.93, cmV0cmVhdCAzMDM0MCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
