159.206.139.232, cmVpdGVyYXRlIDgyMzUgZmxpZXM=, OK
194.236.252.197, ZGVzdHJveSAxNzQ3NiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
196.221.84.26, cmVpdGVyYXRlIDEyNzAzIGNoaWNrZW5z, OK
59.69.208.231, cmV2ZWFsIDE4MjQ0IGR1Y2tz, OK
91.124.190.109, cGljayAyMjA2MCBwaWdz, OK
222.45.211.196, cGljayAxMDg4MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
85.42.133.183, cGljayAzNTIzIHNtYWxsLWJpcmRz, OK
109.233.194.150, cmV2ZWFsIDI0Nzc0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
173.17.13.115, ZGVzdHJveSAxODIzMSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
199.224.63.67, cGx1Y2sgNTcwOSBwaWdz, OK
21.79.191.172, cmV2ZWFsIDI2ODU5IGR1Y2tz, OK
147.123.69.97, ZGVzdHJveSA5NDM5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
155.185.39.116, ZGVzdHJveSAxNTExNiBnZWVzZQ==, OK
84.231.185.26, Y29udnVsc2UgMTM0MTMgYmlnLWJpcmRz, OK
186.42.178.12, ZGVtb2xpc2ggNTk5MSBkdWNrcw==, OK
57.150.73.164, cmVpdGVyYXRlIDIzNDc2IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
12.248.76.29, ZGVzdHJveSA2NTg1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
210.88.110.118, cmVpdGVyYXRlIDI1MTIyIGNoaWNrZW5z, OK
24.188.86.253, ZGVzdHJveSAyOTA5OCBhbmdyeS1nZWVzZQ==, OK
7.89.147.240, ZGVtb2xpc2ggMTIwNTAgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
93.210.194.87, cGluIDIxMjUyIGR1Y2tz, OK
173.17.13.115, cmVpdGVyYXRlIDE3MjE1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
194.74.184.124, cmV0cmVhdCAyNDY1MyBjaGlja2Vucw==, OK
173.169.194.107, cmV0cmVhdCAyNjc3MiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
38.90.11.50, cGx1Y2sgMzIyODMgYW5ncnktZ2Vlc2U=, OK
23.245.212.57, cGx1Y2sgMTMxNyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
94.68.24.243, YXJ0aWN1bGF0ZSAyNzQyNyBiaWctYmlyZHM=, OK
114.26.27.218, ZGVtb2xpc2ggMzE2ODggZHVja3M=, OK
155.185.39.116, Y29uY2VhbCAxODAyOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
90.104.161.151, ZGVtb2xpc2ggNTU0IGNoaWNrZW5z, OK
107.232.94.170, cmV0cmVhdCAzMDk5OSBkdWNrcw==, OK
77.238.23.103, cGljayAxNzk5NSBwaWdz, OK
63.69.169.175, ZGVzdHJveSAxMjk2MyBmbGllcw==, OK
159.206.139.232, Y29udnVsc2UgMjE2MzkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
188.254.108.225, cmVpdGVyYXRlIDc3NjIgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
31.37.10.46, Y29uY2VhbCAyNDM1NSBjaGlja2Vucw==, OK
86.253.92.193, Y29uY2VhbCAyMjM1NCBnZWVzZQ==, OK
210.152.56.48, ZGVzdHJveSAyMjY2MSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
173.195.88.193, YXJ0aWN1bGF0ZSAyMDMxNCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
191.241.150.115, ZGVtb2xpc2ggMTU0NDMgZHVja3M=, OK
141.146.107.30, cGluIDI4MDQzIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
145.178.26.187, cGx1Y2sgMzcxMiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
55.7.124.110, cmV2ZWFsIDI2MjQyIGNoaWNrZW5z, OK
194.84.7.254, cmV2ZWFsIDI5NzU1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
14.199.143.192, Y29udnVsc2UgMTIwMjkgY2hpY2tlbnM=, OK
43.170.207.48, Y29uY2VhbCAxMjA1NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
205.172.120.159, cmVpdGVyYXRlIDE1ODYwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
200.209.238.241, cmV0cmVhdCAxNTQ0MiBhbmdyeS1nZWVzZQ==, OK
90.104.161.151, Y29uY2VhbCA4MTUgc21hbGwtYmlyZHM=, OK
130.26.220.191, dW5kZXJzdGFuZCAxNTg1MiByYW1z, please-make-it-stop
18.44.205.35, cGx1Y2sgMjc5OTcgY2hpY2tlbnM=, OK
33.165.254.175, ZGVzdHJveSAxMTM2NiBzbWFsbC1iaXJkcw==, OK
214.40.145.219, Y29udnVsc2UgMjYzOTEgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
27.128.19.219, cGx1Y2sgMTY0MiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
208.121.247.230, cGljayAzMTU0IGZsaWVz, OK
150.227.34.71, cGljayAxMzczNSBwaWdz, OK
159.206.139.232, cmV2ZWFsIDIxMzg4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
84.32.158.51, cGluIDI1NzM0IGZsaWVz, OK
121.250.42.171, YXJ0aWN1bGF0ZSAxNjExNSBmbGllcw==, OK
188.207.175.131, ZGVzdHJveSAxMzgxMSBhbmdyeS1nZWVzZQ==, OK
162.89.46.165, Y29uY2VhbCAyMTQ3MyBwaWdz, OK
41.53.254.97, ZGVtb2xpc2ggMTgyOTcgZ2Vlc2U=, OK
167.136.156.61, cmV2ZWFsIDI0MzA3IGFuZ3J5LWdlZXNl, OK
144.137.248.95, cmV0cmVhdCAyNTY2NyBhbmdyeS1nZWVzZQ==, OK
152.142.231.49, ZGVzdHJveSAyNzkwMyBnZWVzZQ==, OK
84.143.235.17, cGx1Y2sgMjE3MjMgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
14.74.242.160, Y29uY2VhbCA5MjUyIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
123.81.80.160, ZGVzdHJveSA3MTcxIGdlZXNl, OK
149.122.58.252, ZGVzdHJveSAxMTQzMCBwaWdz, OK
181.224.76.210, ZGVzdHJveSAyNDQ2OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
82.153.204.85, Y29udnVsc2UgODExIGZsaWVz, OK
133.78.35.156, Y29uY2VhbCAyODM4NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
5.31.52.103, cmV2ZWFsIDI5NzUzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
98.159.136.149, cmV2ZWFsIDQ2MjEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
27.157.152.46, cmVpdGVyYXRlIDk0MyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
188.254.108.225, ZGVzdHJveSAxNDA0NSBwaWdz, OK
215.185.58.173, cGljayAyMjk3MSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
148.204.235.218, YXJ0aWN1bGF0ZSA2MTg2IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
181.90.136.181, cGluIDEzNjc1IGNoaWNrZW5z, OK
53.195.216.149, cGluIDQ5MDEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
86.211.249.187, cGx1Y2sgMjQ0MTkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
166.215.144.58, ZGVtb2xpc2ggMjYyNTUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
80.97.180.7, cmV0cmVhdCA2OTU0IGdlZXNl, OK
13.141.4.30, cGx1Y2sgMjQwNSBjaGlja2Vucw==, OK
123.142.33.85, Y29udnVsc2UgOTUwMyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
155.249.192.195, cmVpdGVyYXRlIDE4MTMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
178.131.217.4, cmV2ZWFsIDEzMzk3IGFuZ3J5LWdlZXNl, OK
135.94.212.64, cGx1Y2sgMzQ4OSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
57.183.63.73, ZGVtb2xpc2ggMjA0MzcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
117.164.80.50, cGljayAzMTEwMyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
164.8.189.44, cmV0cmVhdCAyODYzNSBiaWctYmlyZHM=, OK
196.129.90.243, Y29uY2VhbCA1NDY0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
177.29.34.133, cGljayA5MzQ1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
18.219.90.216, cGljayAyMzgzNyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
27.248.202.44, cGljayAxODYxOSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
7.131.74.141, Y29uY2VhbCAyNjYwNyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
