147.123.69.97, cGljayAxNzEgYmlnLWJpcmRz, OK
135.94.212.64, ZGVzdHJveSAyMDQ0MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
38.90.11.50, ZGVtb2xpc2ggMTg4MTAgYmlnLWJpcmRz, OK
215.82.205.4, cmV2ZWFsIDIzNTk3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
80.113.205.197, cmVpdGVyYXRlIDE1MTc0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
82.118.32.172, YXJ0aWN1bGF0ZSAyMzg5NSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
78.225.234.124, ZGVtb2xpc2ggMTczMjYgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
167.236.64.71, YXJ0aWN1bGF0ZSAyNTQ5NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
5.150.87.93, ZGVzdHJveSAxODUxNSBkdWNrcw==, OK
4.94.81.50, YXJ0aWN1bGF0ZSAxMDI2NyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
200.209.238.241, cGljayAyMjgzMSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
103.155.241.241, cGluIDEzNjkzIGJpZy1iaXJkcw==, OK
103.60.230.43, cmV0cmVhdCAzMDU3IHNtYWxsLWJpcmRz, OK
124.39.251.232, Y29udnVsc2UgMjA0ODcgY2hpY2tlbnM=, OK
11.74.142.72, cmVpdGVyYXRlIDE3NTQ5IGZsaWVz, OK
200.29.175.189, cmV0cmVhdCAyOTcxOCBzbWFsbC1iaXJkcw==, OK
98.119.71.187, Y29uY2VhbCAxMjgyNSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
177.221.116.240, ZGVtb2xpc2ggMTQyNzQgcGlncw==, OK
89.241.196.237, cmVpdGVyYXRlIDI1NzI1IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
12.17.53.194, Y29udnVsc2UgNjE4OCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
41.123.15.11, YXJ0aWN1bGF0ZSAyNjk4NSBjaGlja2Vucw==, OK
141.110.216.217, ZGVtb2xpc2ggMjQzMDcgbWVkaXVtLXNpemVkLWJpcmRz, OK
27.157.152.46, YXJ0aWN1bGF0ZSAyNjE3NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
52.116.109.227, YXJ0aWN1bGF0ZSA2MDEzIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
139.36.156.243, Y29udnVsc2UgMjY4NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
121.134.42.101, cmV2ZWFsIDE5NjQxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
190.170.121.219, cGx1Y2sgMjI2MTQgc21hbGwtYmlyZHM=, OK
162.201.109.83, Y29udnVsc2UgNjI2IHNtYWxsLWJpcmRz, OK
72.8.233.155, YXJ0aWN1bGF0ZSAxOTA0NyBjaGlja2Vucw==, OK
147.72.202.204, cGljayAyMDU3IHBpZ3M=, OK
178.13.180.171, cGluIDk1MzIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
173.170.121.190, cmV2ZWFsIDEyOTAyIGR1Y2tz, OK
75.35.207.134, Y29uY2VhbCAxNzAxNiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
102.69.214.96, Y29udnVsc2UgMjk1MDAgc21hbGwtYmlyZHM=, OK
37.150.85.158, cGx1Y2sgMjc3MzcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
55.165.2.49, ZGVtb2xpc2ggMTEzNjQgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
156.99.52.119, ZGVzdHJveSAzMjU1MiBzbWFsbC1iaXJkcw==, OK
216.216.121.251, cGljayAxNDQ1MSBhbmdyeS1nZWVzZQ==, OK
59.200.84.254, cGx1Y2sgMTM5MDcgYW5ncnktZ2Vlc2U=, OK
186.42.178.12, cGx1Y2sgMjYwNTUgY2hpY2tlbnM=, OK
144.71.169.219, cGluIDMxMzc4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
177.221.116.240, ZGVzdHJveSAyNzY3OCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
86.218.17.15, YXJ0aWN1bGF0ZSAzNTA4IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
