59.69.208.231, cGluIDQzMjAgbWVkaXVtLXNpemVkLWJpcmRz, OK
112.174.164.209, cmV0cmVhdCAxODY3IGFuZ3J5LWdlZXNl, OK
196.221.84.26, ZGVzdHJveSAxNDQ5MyBnZWVzZQ==, OK
217.118.144.29, cGx1Y2sgMjEyNzUgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
37.76.224.113, YXJ0aWN1bGF0ZSAxMzExNyBhbmdyeS1nZWVzZQ==, OK
4.94.81.50, cmV2ZWFsIDIwMDYxIGJpZy1iaXJkcw==, OK
169.64.253.192, Y29udnVsc2UgMjc1Mzggc21hbGwtYmlyZHM=, OK
35.83.29.145, YXJ0aWN1bGF0ZSAxOTI5NSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
199.115.113.213, YXJ0aWN1bGF0ZSAxMDIyNyBmbGllcw==, OK
81.218.143.157, cmVpdGVyYXRlIDEzNDgyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
213.174.3.18, ZGVtb2xpc2ggMTExIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
196.129.90.243, cmV2ZWFsIDI0MTQ1IGdlZXNl, OK
18.219.90.216, Y29udnVsc2UgMjI0MzggYW5ncnktZ2Vlc2U=, OK
126.248.63.167, cGx1Y2sgMjc5MzcgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
45.247.136.64, cGx1Y2sgMTgwMDAgZHVja3M=, OK
215.125.118.121, cmV0cmVhdCAyODkyOSBzbWFsbC1iaXJkcw==, OK
120.132.252.171, cGluIDMwMzY4IGdlZXNl, OK
219.82.76.35, ZGVtb2xpc2ggMjIzNDcgZmxpZXM=, OK
144.137.248.95, cGljayAyMjg3NCBiaWctYmlyZHM=, OK
7.155.96.182, Y29udnVsc2UgMjQ4MTggcGlncw==, OK
68.141.123.191, cmV2ZWFsIDI4OTY2IGFuZ3J5LWdlZXNl, OK
101.4.199.42, cmVpdGVyYXRlIDEyMzk4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
45.34.234.145, cGluIDEyOTIgcGlncw==, OK
152.86.175.152, Y29udnVsc2UgNzQ4OCBmbGllcw==, OK
136.53.203.233, dW5kZXJzdGFuZCA3NTYgbWlub3RhdXJz, please-make-it-stop
122.9.31.214, Y29udnVsc2UgNzc4MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
119.30.16.224, ZGVtb2xpc2ggMjQ2MzIgc21hbGwtYmlyZHM=, OK
208.121.247.230, cGluIDMxNDgzIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
12.220.73.92, Y29udnVsc2UgMjc5NjMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
191.52.203.199, cmV0cmVhdCAxODE3OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
