53.82.222.249, cGljayAyNzUyIGdlZXNl, OK
2.168.43.74, cmV2ZWFsIDQ1OSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
173.114.183.77, Y29udnVsc2UgNTU5NCBwaWdz, OK
96.217.226.144, cmVpdGVyYXRlIDE2ODA3IGNoaWNrZW5z, OK
62.139.79.237, YXJ0aWN1bGF0ZSAxNzczNCBjaGlja2Vucw==, OK
108.228.51.175, ZGVtb2xpc2ggMzA0MDIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
218.177.89.116, cmV2ZWFsIDIwMDAzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
22.244.29.56, Y29udnVsc2UgNjQwMSBjaGlja2Vucw==, OK
58.30.69.74, cmV2ZWFsIDE4NDgyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
129.59.27.187, cGluIDcyOTIgc21hbGwtYmlyZHM=, OK
113.25.7.248, cGljayAyNjMwMCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
221.145.151.20, ZGVtb2xpc2ggMTg5MDUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
30.19.1.172, ZGVtb2xpc2ggMTA2NDkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
102.89.93.74, YXJ0aWN1bGF0ZSAyMTk3NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
28.106.0.116, cGluIDI2Mzc4IGZsaWVz, OK
130.105.54.122, cGx1Y2sgMzE2MDMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
41.53.254.97, ZGVtb2xpc2ggNjUzMCBhbmdyeS1nZWVzZQ==, OK
55.165.2.49, cGluIDY1NjMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
36.244.31.251, YXJ0aWN1bGF0ZSAxMTAwMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
84.103.102.99, ZGVzdHJveSAyMTIyOCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
47.89.152.15, cGljayAyMTM2OCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
18.44.139.138, ZGVtb2xpc2ggMjE4NzEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
