76.171.74.40, cGljayAyMjIyNCBnZWVzZQ==, OK
202.82.241.179, ZGVtb2xpc2ggMTMzNTkgYW5ncnktZ2Vlc2U=, OK
143.150.138.122, YXJ0aWN1bGF0ZSAyNjkxNyBhbmdyeS1nZWVzZQ==, OK
174.190.224.216, cGljayAxMTA4MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
72.247.208.192, cmVpdGVyYXRlIDI5OTk1IHNtYWxsLWJpcmRz, OK
41.53.254.97, ZGVzdHJveSAzMTE2NyBnZWVzZQ==, OK
137.252.49.77, ZGVtb2xpc2ggMTE1OTQgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
119.113.194.88, ZGVzdHJveSA3MzU0IHBpZ3M=, OK
194.63.91.226, cGljayAyMjQ3MSBjaGlja2Vucw==, OK
66.186.105.210, cmVpdGVyYXRlIDQwOCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
210.152.56.48, cGluIDIwMDc2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
201.2.101.130, ZGVtb2xpc2ggMjIyNDUgYW5ncnktZ2Vlc2U=, OK
79.219.208.224, cmVpdGVyYXRlIDI2Nzk1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
141.146.107.30, cmV2ZWFsIDI0NDI1IGJpZy1iaXJkcw==, OK
50.127.209.0, cmV2ZWFsIDc5NzUgZHVja3M=, OK
88.150.156.49, ZGVzdHJveSAzMDAxOCBwaWdz, OK
199.115.113.213, cmV0cmVhdCA5MDczIGNoaWNrZW5z, OK
193.108.227.203, Y29uY2VhbCAzMDIwMiBnZWVzZQ==, OK
18.219.90.216, ZGVzdHJveSAyNTExMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
102.89.93.74, cmVpdGVyYXRlIDEwOTMyIHNtYWxsLWJpcmRz, OK
160.20.250.146, Y29udnVsc2UgMjEzODggZHVja3M=, OK
101.203.121.109, ZGVtb2xpc2ggNjcxMyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
71.119.124.63, ZGVtb2xpc2ggNjk1MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
22.244.29.56, cmV0cmVhdCAxMzk5NiBmbGllcw==, OK
121.108.153.63, dW5waW4gMzI1MTggcGVhY2UtbG92aW5nLWdlZXNl, ouch-that-hurt!
68.192.53.51, cGluIDI5MzE5IGdlZXNl, OK
11.207.166.41, cGluIDgwMjkgcGlncw==, OK
66.251.74.113, cGluIDk4NTQgY2hpY2tlbnM=, OK
201.155.91.83, cmVpdGVyYXRlIDIxMzMxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
109.19.42.48, Y29udnVsc2UgMjE2NjggY2hpY2tlbnM=, OK
115.32.254.117, cmVpdGVyYXRlIDE0NjcyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
