109.19.42.48, cGluIDgzMzcgbWVkaXVtLXNpemVkLWJpcmRz, OK
83.221.222.1, cmV2ZWFsIDI0MDg3IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
146.49.113.60, ZGVtb2xpc2ggMjA0MjQgYmlnLWJpcmRz, OK
95.23.17.175, YXJ0aWN1bGF0ZSAyNTUwMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
58.142.147.119, cGljayAzMDgxMCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
119.30.16.224, Y29uY2VhbCAyNjg0MCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
203.24.97.180, cmV2ZWFsIDI5NTczIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
193.108.227.203, cmV0cmVhdCAxMDIzNSBiaWctYmlyZHM=, OK
143.238.143.123, YXJ0aWN1bGF0ZSAyMjYwNiBkdWNrcw==, OK
173.114.183.77, cmV2ZWFsIDIxMTQ5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
188.205.12.225, cGluIDI3NDIzIGNoaWNrZW5z, OK
37.235.107.138, Y29uY2VhbCAyNDYwMSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
173.169.194.107, cmV2ZWFsIDI1Mzk1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
46.230.136.35, Y29uY2VhbCAyNTczOSBwaWdz, OK
143.163.122.204, cGluIDE3ODA4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
8.101.130.72, Y29uY2VhbCAyMTI3MiBkdWNrcw==, OK
86.231.11.213, Y29uY2VhbCAzMDcxMCBkdWNrcw==, OK
58.49.205.218, Y29uY2VhbCAxNTM5NiBmbGllcw==, OK
12.176.204.152, cGljayAyNzIyMiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
172.5.102.13, YXJ0aWN1bGF0ZSA4MzgxIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
88.233.226.191, Y29udnVsc2UgMjg3MzcgY2hpY2tlbnM=, OK
108.184.235.241, cGluIDMxODAzIHBpZ3M=, OK
5.147.5.175, cmVpdGVyYXRlIDE2NDYgZHVja3M=, OK
175.18.14.188, YXJ0aWN1bGF0ZSAyMTM1NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
130.26.220.191, cmV0cmVhdCAyOTY4NCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
202.82.241.179, cGx1Y2sgMTExMzIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
20.69.94.150, YXJ0aWN1bGF0ZSAxMTE1OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
175.18.14.188, ZGVtb2xpc2ggMzAxMDIgbWVkaXVtLXNpemVkLWJpcmRz, OK
75.151.226.170, cGljayAyODc1NSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
161.234.217.106, YXJ0aWN1bGF0ZSAyODk3NSBjaGlja2Vucw==, OK
121.200.171.223, cmVpdGVyYXRlIDE3MDg4IGR1Y2tz, OK
9.157.41.233, Y29udnVsc2UgMjQ5MiBhbmdyeS1nZWVzZQ==, OK
