86.253.92.193, ZGVzdHJveSAxMzkwIGdlZXNl, OK
93.210.194.87, YXJ0aWN1bGF0ZSAzMTIxMSBiaWctYmlyZHM=, OK
115.66.122.198, cGljayAxNjExIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
106.92.123.74, cmV0cmVhdCAzMTY5NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
207.242.106.204, ZGVtb2xpc2ggNzEyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
193.234.202.135, cmV0cmVhdCAyMjE1NyBkdWNrcw==, OK
149.122.58.252, cGx1Y2sgMTU3MTggcGlncw==, OK
171.96.216.242, cGljayAxOTcxMiBzbWFsbC1iaXJkcw==, OK
8.96.140.117, cmVpdGVyYXRlIDI3MjUgYmlnLWJpcmRz, OK
89.241.196.237, cGx1Y2sgMjExNCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
155.159.11.151, cmVpdGVyYXRlIDEwNzg3IGJpZy1iaXJkcw==, OK
164.8.189.44, cmV2ZWFsIDI0MTQ5IHNtYWxsLWJpcmRz, OK
2.187.254.76, cGljayAzMTAxOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
168.93.12.26, Y29uY2VhbCAyMjMzMCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
72.8.233.155, cGx1Y2sgMzE3MzYgcGlncw==, OK
49.185.31.71, cmV0cmVhdCA4OTMzIHBpZ3M=, OK
195.201.4.201, cmVpdGVyYXRlIDIxMDggZmxpZXM=, OK
35.3.107.248, cGljayAxNzg1MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
195.217.255.132, YXJ0aWN1bGF0ZSAyNzIyNSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
74.250.118.193, Y29udnVsc2UgMzA2MTQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
115.214.210.138, Y29udnVsc2UgMzQ2NCBkdWNrcw==, OK
118.207.222.57, cGluIDEzMDU3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
70.194.149.33, YXJ0aWN1bGF0ZSAyNjIxMSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
187.197.175.73, Y29uY2VhbCAxODQxNCBiaWctYmlyZHM=, OK
72.247.208.192, YXJ0aWN1bGF0ZSAyNTE3NiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
70.228.235.139, YXJ0aWN1bGF0ZSAyNzIxMCBwaWdz, OK
86.227.74.249, ZGVtb2xpc2ggNDI3MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
145.141.241.88, cGx1Y2sgMjIyOTAgc21hbGwtYmlyZHM=, OK
74.250.118.193, cmV2ZWFsIDg1MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
75.229.157.125, cmV0cmVhdCAxNzQwMyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
196.239.224.249, cGx1Y2sgMjk4NjYgbWVkaXVtLXNpemVkLWJpcmRz, OK
88.198.160.11, cGluIDEzMjU2IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
