121.134.42.101, ZGVzdHJveSAxOTgyMyBnZWVzZQ==, OK
181.90.136.181, cGx1Y2sgNzcxOCBwaWdz, OK
139.166.23.156, cmV0cmVhdCA1NTI5IGR1Y2tz, OK
101.28.185.133, cmV0cmVhdCAxMzAzNiBiaWctYmlyZHM=, OK
55.7.124.110, cmVpdGVyYXRlIDIzNjI4IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
16.133.233.120, ZGVzdHJveSAyOTc4OSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
87.187.70.176, ZGVzdHJveSAxMjI3MCBwaWdz, OK
96.217.226.144, cGx1Y2sgMjA3NDIgZmxpZXM=, OK
166.20.228.12, cGx1Y2sgMjUxNzAgcGlncw==, OK
2.145.214.193, cmVpdGVyYXRlIDEzNTI5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
21.104.18.181, cGluIDIwNDM0IGJpZy1iaXJkcw==, OK
217.245.162.54, ZGVtb2xpc2ggMzA3NjkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
55.115.224.56, ZGVtb2xpc2ggMTY1NzMgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
174.102.225.238, Y29uY2VhbCAzMjEwNiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
23.245.212.57, cGljayA5NDU5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
97.173.112.180, ZGVzdHJveSAxODM4NiBhbmdyeS1nZWVzZQ==, OK
45.184.151.102, cmV0cmVhdCA4ODI1IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
77.161.165.141, cGljayAyMTM1MCBhbmdyeS1nZWVzZQ==, OK
112.174.164.209, cmV0cmVhdCAyNTc2MyBiaWctYmlyZHM=, OK
91.124.190.109, cmV0cmVhdCAyMTMxMCBiaWctYmlyZHM=, OK
168.93.12.26, cmVpdGVyYXRlIDEyMzgzIHNtYWxsLWJpcmRz, OK
24.169.27.44, cGluIDIxODg1IGZsaWVz, OK
202.82.241.179, cGluIDczOTMgZmxpZXM=, OK
188.205.12.225, ZGVzdHJveSAzMDQ0NiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
210.152.56.48, dW5waW4gMTc5MTQgbWlub3RhdXJz, my-socket-is-on-fire!
20.69.94.150, Y29uY2VhbCAyMDU0OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
151.192.64.196, YXJ0aWN1bGF0ZSAxNzM5OSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
178.42.139.2, Y29uY2VhbCA3MzkyIHBpZ3M=, OK
187.87.217.237, YXJ0aWN1bGF0ZSAyNTE3NSBjaGlja2Vucw==, OK
125.34.6.39, cGx1Y2sgMTQ2MTggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
27.248.202.44, YXJ0aWN1bGF0ZSAyMTMxMCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
129.54.11.77, cGluIDEzMTAzIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
151.175.243.48, cGx1Y2sgNDg5MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
210.74.24.17, YXJ0aWN1bGF0ZSAxODk3MiBhbmdyeS1nZWVzZQ==, OK
