8.96.140.117, cGljayAxMzUzMSBnZWVzZQ==, OK
123.190.87.137, YXJ0aWN1bGF0ZSAyMzIwOSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
66.186.105.210, cmV2ZWFsIDIyNjUzIHBpZ3M=, OK
105.160.114.234, aW50ZWdyYXRlIDI0NTcyIHJhbXM=, my-socket-is-on-fire!
121.108.153.63, Y29udnVsc2UgMTM1OTUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
63.132.173.121, cmVpdGVyYXRlIDY5MzQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
53.82.222.249, ZGVtb2xpc2ggMTYzMTUgZmxpZXM=, OK
39.229.112.176, dW5kZXJzdGFuZCA5OTA2IG1pbm90YXVycw==, ouch-that-hurt!
145.141.241.88, YXJ0aWN1bGF0ZSAxNTU3OSBzbWFsbC1iaXJkcw==, OK
123.126.202.63, cGljayA2MjI5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
208.121.247.230, ZGVzdHJveSAyMjgxNiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
31.37.10.46, aW50ZWdyYXRlIDIyNDc2IHJhbXM=, why-did-this-have-to-happen
63.69.169.175, Y29uY2VhbCAyNTcyNiBnZWVzZQ==, OK
122.9.31.214, cGx1Y2sgMTM5OTAgZmxpZXM=, OK
222.136.32.209, YXJ0aWN1bGF0ZSAyNDM2MyBnZWVzZQ==, OK
201.105.148.137, dW5waW4gODMxNyBkaW5vc2F1cnM=, ouch-that-hurt!
138.68.57.102, cmVpdGVyYXRlIDU2OTMgYW5ncnktZ2Vlc2U=, OK
21.170.254.65, Y29uY2VhbCA4MjIgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
124.32.23.26, cmVpdGVyYXRlIDMyMTMyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
90.139.220.113, ZXhwbGFpbiAxNjEyOSByYW1z, my-socket-is-on-fire!
103.105.226.142, ZGVzdHJveSAyMjQwIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
151.25.196.252, cGx1Y2sgMjgxNzcgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
66.249.163.254, Y29uY2VhbCAyODE0MyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
30.214.151.169, dW5kZXJzdGFuZCAzMjU2NCBwZWFjZS1sb3ZpbmctZ2Vlc2U=, my-socket-is-on-fire!
7.89.147.240, ZGVtb2xpc2ggNDE5MCBwaWdz, OK
217.118.144.29, Y29udnVsc2UgMTg3NTcgZmxpZXM=, OK
102.69.214.96, ZGVtb2xpc2ggMTc2NyBwaWdz, OK
58.142.147.119, dW5kZXJzdGFuZCAxMTYzIG1pbm90YXVycw==, why-did-this-have-to-happen
222.252.126.133, ZGVzdHJveSAzMTg2NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
21.79.191.172, cmV2ZWFsIDI3ODUxIGNoaWNrZW5z, OK
51.123.105.13, Y29uY2VhbCAyNDQ3IGR1Y2tz, OK
172.94.13.185, aW50ZWdyYXRlIDE4MzcgbWlub3RhdXJz, my-socket-is-on-fire!
178.238.17.215, ZGVzdHJveSAyNTczNiBhbmdyeS1nZWVzZQ==, OK
178.98.153.174, Y29uY2VhbCAyODQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
57.150.73.164, cGluIDg2MjYgY2hpY2tlbnM=, OK
79.213.236.217, aW50ZWdyYXRlIDMxMTE4IHBlYWNlLWxvdmluZy1nZWVzZQ==, why-did-this-have-to-happen
54.117.196.173, Y29uY2VhbCAxMTgzOCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
44.187.69.122, cmV2ZWFsIDU0MjcgZHVja3M=, OK
112.116.176.70, cGx1Y2sgMjA0NTQgY2hpY2tlbnM=, OK
175.36.51.26, dW5waW4gNzc5OCBtaW5vdGF1cnM=, ouch-that-hurt!
8.96.140.117, cmV0cmVhdCA1Mjk5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
180.126.41.181, cGx1Y2sgOTQ4MyBjaGlja2Vucw==, OK
111.107.111.92, ZGVzdHJveSA0MDUgc21hbGwtYmlyZHM=, OK
63.69.169.175, dW5kZXJzdGFuZCA1NDk2IGRpbm9zYXVycw==, i-can't-even-comprehend-what-you-are-saying
78.225.234.124, ZGVtb2xpc2ggMjMwMDggbWVkaXVtLXNpemVkLWJpcmRz, OK
42.104.122.3, cGx1Y2sgNzM4OCBwaWdz, OK
130.26.220.191, ZGVtb2xpc2ggMjAyMjggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
49.185.31.71, aW50ZWdyYXRlIDk3MTAgcGVhY2UtbG92aW5nLWdlZXNl, ouch-that-hurt!
145.134.33.91, cGljayAxMjg4OSBjaGlja2Vucw==, OK
