139.166.23.156, cGljayAyODMwNyBnZWVzZQ==, OK
48.47.163.88, cmV0cmVhdCAxMTc4MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
188.207.175.131, cGljayA5NTAgZ2Vlc2U=, OK
27.114.171.133, cmV0cmVhdCAxMDY2IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
20.69.94.150, cmV0cmVhdCAxMTEyMyBkdWNrcw==, OK
58.142.147.119, ZGVzdHJveSA0ODIzIGFuZ3J5LWdlZXNl, OK
154.79.115.97, cmV0cmVhdCA5ODMgY2hpY2tlbnM=, OK
65.31.71.65, Y29udnVsc2UgMzAxMjYgYW5ncnktZ2Vlc2U=, OK
147.72.202.204, cGljayAyNTYzNyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
54.117.196.173, ZGVzdHJveSAyODIyIHBpZ3M=, OK
179.195.108.126, cGljayAxNzQ0NiBzbWFsbC1iaXJkcw==, OK
148.250.46.230, cmVpdGVyYXRlIDkwODIgZmxpZXM=, OK
74.66.250.251, Y29udnVsc2UgMzA2NTMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
77.8.212.62, ZGVzdHJveSA5NjIzIGNoaWNrZW5z, OK
5.26.85.74, YXJ0aWN1bGF0ZSAyNDg1NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
31.9.94.134, cGluIDEzMjk3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
36.8.115.64, Y29uY2VhbCA5NTkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
160.60.153.194, ZGVzdHJveSA3MTUzIGJpZy1iaXJkcw==, OK
135.94.212.64, ZGVtb2xpc2ggMjQzNyBnZWVzZQ==, OK
131.43.202.222, cGluIDI5MzQxIGdlZXNl, OK
62.139.79.237, cGljayAxODIyOSBjaGlja2Vucw==, OK
84.143.235.17, cGx1Y2sgMTkyODAgYW5ncnktZ2Vlc2U=, OK
101.4.199.42, cmV0cmVhdCAxNjQ2NSBmbGllcw==, OK
200.209.238.241, cGx1Y2sgMjYzMDIgbWVkaXVtLXNpemVkLWJpcmRz, OK
112.125.102.212, cmV0cmVhdCAxOTU4NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
191.52.203.199, cGluIDE0OTkwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
155.185.39.116, cGx1Y2sgMjg5MjUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
193.234.202.135, cGljayAxNTk1MCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
71.119.124.63, YXJ0aWN1bGF0ZSAxNDkxOCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
62.237.86.128, Y29uY2VhbCAxMjQzMiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
84.143.235.17, Y29uY2VhbCA3ODU3IGJpZy1iaXJkcw==, OK
4.242.107.225, Y29udnVsc2UgMzA1NTMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
200.209.238.241, cGx1Y2sgODk3NCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
58.43.141.197, ZGVtb2xpc2ggOTQ3NCBwaWdz, OK
201.105.148.137, cGluIDc2OTQgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
24.45.137.227, YXJ0aWN1bGF0ZSA4MzE1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
140.174.216.40, Y29uY2VhbCAxMjg3MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
219.82.76.35, Y29udnVsc2UgNDgwMiBjaGlja2Vucw==, OK
23.53.32.49, ZGVtb2xpc2ggMTgwMCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
84.103.102.99, dW5waW4gMjkyNjggbWlub3RhdXJz, ouch-that-hurt!
98.199.198.28, cmVpdGVyYXRlIDU4OTggY2hpY2tlbnM=, OK
136.53.203.233, YXJ0aWN1bGF0ZSAyODg1MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
18.56.125.33, ZGVzdHJveSAzMDMwNSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
