23.187.186.224, cGljayAzMTMyNCBkdWNrcw==, OK
108.38.251.104, Y29udnVsc2UgMTIxMDYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
11.156.239.75, cGluIDI5ODMwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
115.32.254.117, cGx1Y2sgMzA1NjIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
86.227.74.249, ZGVtb2xpc2ggMjk5MDMgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
180.193.241.23, cGluIDg0NzkgYW5ncnktZ2Vlc2U=, OK
20.16.112.47, cGluIDc0ODEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
28.185.7.103, cGluIDMxMzM2IHNtYWxsLWJpcmRz, OK
44.104.97.235, cmV2ZWFsIDE1MTEyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
32.229.137.177, ZGVzdHJveSAxODY0NSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
84.159.97.248, cGluIDE3NTEgcGlncw==, OK
160.187.242.47, ZGVzdHJveSA3ODI1IHNtYWxsLWJpcmRz, OK
183.225.165.240, YXJ0aWN1bGF0ZSAxNzA0MCBiaWctYmlyZHM=, OK
177.19.165.78, Y29uY2VhbCAyNzE2NSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
147.72.202.204, cGx1Y2sgMjAxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
11.97.202.168, cGx1Y2sgMzE4IGZsaWVz, OK
19.8.20.123, cGluIDE3MzA0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
51.200.188.196, ZGVtb2xpc2ggMTc2NDcgYmlnLWJpcmRz, OK
167.244.98.212, cmVpdGVyYXRlIDI4MzYzIGR1Y2tz, OK
4.73.166.72, ZGVtb2xpc2ggMzAxMDQgY2hpY2tlbnM=, OK
27.149.50.25, cmVpdGVyYXRlIDIyODEyIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
143.179.239.37, Y29udnVsc2UgMzY3NyBzbWFsbC1iaXJkcw==, OK
155.81.182.228, ZGVzdHJveSA2NjcgYW5ncnktZ2Vlc2U=, OK
97.173.112.180, cGluIDI4NjU0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
103.105.226.142, ZXhwbGFpbiAxNjkyMCByYW1z, please-make-it-stop
122.9.31.214, cGluIDI1OTggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
63.162.107.54, cGluIDEyNDQgcGlncw==, OK
212.199.79.147, cGljayA2MzI2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
121.134.42.101, Y29udnVsc2UgNzE2NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
204.234.174.158, cmVpdGVyYXRlIDMyNTM2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
77.161.165.141, Y29udnVsc2UgMjAxODcgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
210.134.220.87, cGluIDI2NDkyIGdlZXNl, OK
107.232.94.170, cmV0cmVhdCA5MjcwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
63.184.127.127, cGluIDE1MTU3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
72.247.208.192, cGluIDI2MjcxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
134.253.128.13, Y29uY2VhbCAzMTI1OCBzbWFsbC1iaXJkcw==, OK
89.59.227.195, cGljayAyMzM2OSBnZWVzZQ==, OK
24.71.40.187, cGluIDEwNDg2IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
98.199.198.28, Y29uY2VhbCA5NDMwIHBpZ3M=, OK
126.244.122.199, cGljayA1MjggZmxpZXM=, OK
194.236.252.197, YXJ0aWN1bGF0ZSAzMjM1MCBnZWVzZQ==, OK
20.16.112.47, cmV2ZWFsIDI4ODc2IGR1Y2tz, OK
41.237.57.137, cGljayAyNTI3OCBwaWdz, OK
92.25.82.181, Y29uY2VhbCAyNzc3MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
84.231.185.26, cGx1Y2sgMTA3NDEgZHVja3M=, OK
124.54.1.70, YXJ0aWN1bGF0ZSAyODEyMyBnZWVzZQ==, OK
2.145.214.193, cmVpdGVyYXRlIDEwNTIxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
126.207.100.34, Y29udnVsc2UgODc3OSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
170.50.205.24, cmVpdGVyYXRlIDEyODU5IGZsaWVz, OK
21.79.191.172, dW5waW4gMjM2MTIgcmFtcw==, please-make-it-stop
6.247.137.205, cmVpdGVyYXRlIDI4ODc0IGZsaWVz, OK
55.196.129.42, Y29uY2VhbCA5NDk0IHNtYWxsLWJpcmRz, OK
208.217.176.191, YXJ0aWN1bGF0ZSA1NzU1IGR1Y2tz, OK
76.195.197.159, cmV2ZWFsIDIxMzI5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
75.151.226.170, cmV2ZWFsIDI1MDgyIGNoaWNrZW5z, OK
142.55.4.190, cGx1Y2sgMjA5ODUgZHVja3M=, OK
220.66.102.80, Y29udnVsc2UgMjE3MTAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
70.194.149.33, cGx1Y2sgMjU1MzggZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
66.56.94.33, ZGVzdHJveSAyMDg3OCBmbGllcw==, OK
29.163.177.72, cGljayAyMzQyNSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
182.160.81.160, cmV0cmVhdCAxMDE3IGdlZXNl, OK
29.163.177.72, cmV0cmVhdCAxOTc3NCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
166.215.144.58, YXJ0aWN1bGF0ZSAyMzQxMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
141.146.107.30, cmV0cmVhdCAxOTI1IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
78.31.150.75, cmVpdGVyYXRlIDE2MjEzIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
186.128.208.205, cmV2ZWFsIDQ4OTUgZ2Vlc2U=, OK
143.39.8.178, cmV0cmVhdCA5MjEwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
36.244.31.251, Y29uY2VhbCAyMTgyNiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
47.43.97.11, cGljayAzMDg4NSBmbGllcw==, OK
187.197.175.73, Y29uY2VhbCA1OTMzIGFuZ3J5LWdlZXNl, OK
31.37.10.46, Y29uY2VhbCA4MTg4IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
208.121.247.230, cmVpdGVyYXRlIDk2MSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
152.142.231.49, cGx1Y2sgMTQxOTIgZmxpZXM=, OK
177.29.34.133, cmVpdGVyYXRlIDE3NDg2IGNoaWNrZW5z, OK
203.14.64.195, dW5kZXJzdGFuZCAyNzc5MSByYW1z, ouch-that-hurt!
90.98.142.173, cmVpdGVyYXRlIDg1ODEgZHVja3M=, OK
136.127.113.206, ZGVzdHJveSAyNzI2MyBjaGlja2Vucw==, OK
143.47.86.16, Y29uY2VhbCAzMDU1MSBkdWNrcw==, OK
200.218.75.32, YXJ0aWN1bGF0ZSA4MTAyIHNtYWxsLWJpcmRz, OK
103.60.230.43, cGx1Y2sgNzAyMCBjaGlja2Vucw==, OK
130.26.220.191, YXJ0aWN1bGF0ZSAyMTI2IGJpZy1iaXJkcw==, OK
101.28.185.133, Y29uY2VhbCAyNjY0OCBzbWFsbC1iaXJkcw==, OK
173.195.88.193, ZGVtb2xpc2ggOTgxMyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
103.155.241.241, YXJ0aWN1bGF0ZSAzMDI4MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
14.74.242.160, Y29udnVsc2UgNjE3MSBnZWVzZQ==, OK
190.39.174.239, cmV2ZWFsIDIwODY3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
81.218.143.157, cmVpdGVyYXRlIDMxMDIxIGZsaWVz, OK
76.195.197.159, cGljayA4MDY2IGdlZXNl, OK
75.151.226.170, cmV2ZWFsIDI5MzUxIGJpZy1iaXJkcw==, OK
121.239.14.214, cGx1Y2sgMzI1NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
66.210.170.112, Y29uY2VhbCAzMTA3MyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
41.53.254.97, ZGVzdHJveSAyNDE1MSBhbmdyeS1nZWVzZQ==, OK
88.198.160.11, YXJ0aWN1bGF0ZSAxOTc3MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
