41.123.15.11, cGljayAxNjUxNSBwaWdz, OK
55.7.124.110, cGljayAxMjg4MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
143.39.8.178, Y29uY2VhbCAxMjQzMiBmbGllcw==, OK
51.9.39.233, cmV2ZWFsIDMyNjIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
162.201.109.83, cGljayAyMTAzOSBzbWFsbC1iaXJkcw==, OK
215.185.58.173, cGx1Y2sgNDM1NiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
218.177.89.116, ZGVtb2xpc2ggMTIyNzQgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
54.219.20.106, YXJ0aWN1bGF0ZSAxMzgxOSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
26.194.46.241, cGx1Y2sgNTUzOCBmbGllcw==, OK
191.52.203.199, cmVpdGVyYXRlIDEwMDYwIHBpZ3M=, OK
51.221.20.145, ZGVtb2xpc2ggMTAyNzQgbWVkaXVtLXNpemVkLWJpcmRz, OK
86.218.17.15, YXJ0aWN1bGF0ZSA0MTY4IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
98.199.198.28, YXJ0aWN1bGF0ZSAxMTg5NCBnZWVzZQ==, OK
117.193.231.168, cGluIDY3NyBzbWFsbC1iaXJkcw==, OK
43.85.183.77, cGx1Y2sgMTg3NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
173.195.88.193, cmV0cmVhdCAxMDkzNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
5.150.87.93, cGx1Y2sgMjUxMTUgZmxpZXM=, OK
86.227.74.249, cGx1Y2sgMjg3NjIgYmlnLWJpcmRz, OK
170.212.132.239, cmVpdGVyYXRlIDIyODgyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
195.57.148.211, cmV2ZWFsIDY4NjMgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
27.248.202.44, cGluIDIzMDEgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
27.192.142.193, cGx1Y2sgNTEwNyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
75.58.202.188, Y29uY2VhbCAzMTk1NSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
138.68.57.102, ZGVzdHJveSAxODEyOCBzbWFsbC1iaXJkcw==, OK
40.196.246.93, ZGVzdHJveSA5MjYwIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
55.115.224.56, YXJ0aWN1bGF0ZSAyNTI2MSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
194.84.7.254, cGluIDE1MDM2IGR1Y2tz, OK
120.132.252.171, cmV2ZWFsIDcwNTEgZHVja3M=, OK
5.31.52.103, cGx1Y2sgMTk1OTkgcGlncw==, OK
134.253.128.13, cmV0cmVhdCA0NjM2IGR1Y2tz, OK
53.82.222.249, cGljayA5ODggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
86.221.146.42, cmV2ZWFsIDI3NTU3IGJpZy1iaXJkcw==, OK
86.218.17.15, Y29uY2VhbCAyMTY0OSBzbWFsbC1iaXJkcw==, OK
191.64.227.252, cmV2ZWFsIDE3NTA4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
91.74.8.103, cmVpdGVyYXRlIDI4NzUyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
5.26.85.74, ZGVzdHJveSAzMTA5NyBjaGlja2Vucw==, OK
181.69.169.14, cmV0cmVhdCAxNjUwOCBkdWNrcw==, OK
22.243.52.188, Y29uY2VhbCAzMjc2NSBjaGlja2Vucw==, OK
164.182.77.3, cGluIDMyOTggY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
12.176.204.152, ZGVtb2xpc2ggMTQ5MzEgZ2Vlc2U=, OK
8.96.140.117, cmV2ZWFsIDMxODIzIGFuZ3J5LWdlZXNl, OK
121.239.14.214, cGljayAxMzU0OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
41.123.15.11, ZGVzdHJveSAxNzM0OSBjaGlja2Vucw==, OK
88.1.240.178, Y29udnVsc2UgMjE5NDUgbWVkaXVtLXNpemVkLWJpcmRz, OK
207.242.106.204, cGljayAyODQ2OCBjaGlja2Vucw==, OK
167.244.98.212, cGljayAxNTQ3MiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
4.195.138.100, cGx1Y2sgMTYzMjUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
4.94.81.50, cGx1Y2sgMTkyMTggbWVkaXVtLXNpemVkLWJpcmRz, OK
11.4.206.59, YXJ0aWN1bGF0ZSA3NzcgZ2Vlc2U=, OK
86.157.141.109, cmV0cmVhdCAzMDU1NiBhbmdyeS1nZWVzZQ==, OK
153.98.193.155, YXJ0aWN1bGF0ZSAzMDkwMCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
45.34.234.145, YXJ0aWN1bGF0ZSAxMDg1MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
164.182.77.3, cmVpdGVyYXRlIDI2OTgxIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
67.76.92.223, ZGVtb2xpc2ggMTQxNTUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
151.96.0.150, ZGVzdHJveSAzMjAzNCBiaWctYmlyZHM=, OK
207.88.140.131, YXJ0aWN1bGF0ZSAxMzAxNyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
89.98.201.70, cGljayAyODEyNyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
133.78.35.156, Y29udnVsc2UgMjQ5MjAgZHVja3M=, OK
2.167.7.113, ZGVtb2xpc2ggNDM0NSBzbWFsbC1iaXJkcw==, OK
106.239.239.226, cmV0cmVhdCA0MzI4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
52.116.109.227, cmV2ZWFsIDIyMDA3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
91.74.8.103, ZGVtb2xpc2ggMTAzMjEgZ2Vlc2U=, OK
170.50.205.24, cGluIDMwNjg2IGJpZy1iaXJkcw==, OK
134.253.128.13, Y29uY2VhbCAyNzgzNyBjaGlja2Vucw==, OK
38.143.9.126, cGx1Y2sgMTE0NDUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
83.57.49.118, Y29udnVsc2UgNjAyNyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
87.187.70.176, ZGVzdHJveSAxMTk4MiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
207.112.82.74, cmVpdGVyYXRlIDEyOTg0IHNtYWxsLWJpcmRz, OK
147.171.254.20, cmVpdGVyYXRlIDMxODQwIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
22.243.52.188, cGx1Y2sgMTkxODggbWVkaXVtLXNpemVkLWJpcmRz, OK
147.108.12.194, YXJ0aWN1bGF0ZSAyNTkwNyBmbGllcw==, OK
24.71.40.187, YXJ0aWN1bGF0ZSAyNDY3OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
64.209.177.26, cmV0cmVhdCAxMDQ3IGdlZXNl, OK
211.23.26.61, cmVpdGVyYXRlIDExOTM2IGJpZy1iaXJkcw==, OK
42.81.73.43, cGx1Y2sgNjg4NiBkdWNrcw==, OK
37.184.197.233, cmVpdGVyYXRlIDI5NTQ2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
83.55.22.244, cmV0cmVhdCAyNzQ3OCBiaWctYmlyZHM=, OK
117.164.80.50, Y29udnVsc2UgMzcxNyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
27.192.142.193, cGx1Y2sgMzA2MzcgYW5ncnktZ2Vlc2U=, OK
51.221.20.145, Y29udnVsc2UgMjE4MzkgZmxpZXM=, OK
194.63.91.226, ZGVtb2xpc2ggMjE0NzMgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
12.220.73.92, YXJ0aWN1bGF0ZSA1ODc4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
217.118.144.29, ZGVzdHJveSAyNDY4MiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
83.57.49.118, cmV0cmVhdCAxNTgyNCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
48.47.163.88, cmV2ZWFsIDI4MzYyIGZsaWVz, OK
143.47.86.16, YXJ0aWN1bGF0ZSA0NjQ3IHNtYWxsLWJpcmRz, OK
1.0.169.69, cGljayAyODA1MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
11.74.142.72, Y29udnVsc2UgMjA4MjQgZHVja3M=, OK
121.134.42.101, YXJ0aWN1bGF0ZSAyMTU1NCBjaGlja2Vucw==, OK
2.168.43.74, YXJ0aWN1bGF0ZSAyOTU0OCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
84.36.78.65, cmV2ZWFsIDEwMTQ5IGdlZXNl, OK
166.215.144.58, Y29udnVsc2UgMTE1NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
118.64.72.33, cmVpdGVyYXRlIDEyNjc5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
27.160.163.224, cGluIDI2MTk4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
69.49.70.155, Y29uY2VhbCAxODAxMiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
162.27.96.135, cmVpdGVyYXRlIDEzOTc5IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
15.41.161.186, YXJ0aWN1bGF0ZSAxNDU5NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
85.42.133.183, YXJ0aWN1bGF0ZSA3NDc3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
123.142.33.85, Y29uY2VhbCA5NTUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
173.248.229.119, Y29uY2VhbCAyOTIwIHBpZ3M=, OK
