72.105.145.138, cGluIDMwNTQwIGZsaWVz, OK
173.170.121.190, ZGVtb2xpc2ggNjc4NiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
87.187.70.176, ZGVtb2xpc2ggMjQyNTggZHVja3M=, OK
4.73.166.72, cmVpdGVyYXRlIDMxMzIzIGR1Y2tz, OK
155.237.212.159, cGx1Y2sgMTY1NTggYmlnLWJpcmRz, OK
202.82.241.179, Y29uY2VhbCAyNDk5MSBjaGlja2Vucw==, OK
7.131.74.141, cGljayAyMDQ5NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
66.249.163.254, cGljayAyMTUzMCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
79.213.236.217, YXJ0aWN1bGF0ZSAyNDk2MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
144.153.99.195, ZGVtb2xpc2ggMTIyNzcgZmxpZXM=, OK
11.4.206.59, cmV0cmVhdCAxNzkxOCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
130.105.54.122, cmV2ZWFsIDIwNTUzIHBpZ3M=, OK
40.123.179.185, Y29udnVsc2UgMTQ1MDAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
188.207.175.131, cGljayA0MDg2IHBpZ3M=, OK
175.83.206.13, cmV0cmVhdCAzMjYyMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
75.151.226.170, ZGVzdHJveSAyNDU5MiBkdWNrcw==, OK
104.58.96.37, cGx1Y2sgMjkzMzQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
216.176.90.137, Y29udnVsc2UgMTcyMjEgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
216.194.121.101, cmV0cmVhdCAxNTIxOSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
17.248.248.252, Y29uY2VhbCA1MzMxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
84.36.78.65, cGljayAyNTQxNCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
58.49.205.218, cmV0cmVhdCAxMTI1MCBkdWNrcw==, OK
144.71.169.219, Y29udnVsc2UgMjM1NTYgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
65.44.5.45, YXJ0aWN1bGF0ZSAyNDA1MiBhbmdyeS1nZWVzZQ==, OK
11.74.142.72, Y29udnVsc2UgMTkzMSBmbGllcw==, OK
86.218.17.15, YXJ0aWN1bGF0ZSAyNDA1MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
190.250.246.216, ZGVtb2xpc2ggMTExMjQgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
122.9.31.214, ZGVtb2xpc2ggMTExNDkgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
22.133.173.111, cmV2ZWFsIDUwMDIgZHVja3M=, OK
151.175.243.48, cmVpdGVyYXRlIDE2NDcyIGJpZy1iaXJkcw==, OK
78.31.150.75, cGx1Y2sgNTEzMiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
166.139.136.252, YXJ0aWN1bGF0ZSAxOTY2NyBiaWctYmlyZHM=, OK
