218.177.89.116, cGljayAyNjUyNiBmbGllcw==, OK
142.179.243.165, cmVpdGVyYXRlIDE2OTIgc21hbGwtYmlyZHM=, OK
203.14.64.195, cmV2ZWFsIDE5MjggZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
136.226.91.148, cGljayAxMzMzNCBmbGllcw==, OK
70.140.187.114, cmVpdGVyYXRlIDEwMDE0IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
20.132.226.17, ZGVtb2xpc2ggMzI1MTIgY2hpY2tlbnM=, OK
208.163.4.254, cGljayAyNzYwMCBzbWFsbC1iaXJkcw==, OK
187.197.228.76, ZGVtb2xpc2ggMzAxMSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
91.115.216.159, Y29udnVsc2UgMzA1OTggZHVja3M=, OK
174.15.144.46, cmVpdGVyYXRlIDM3NTYgZHVja3M=, OK
191.52.203.199, ZGVtb2xpc2ggMjExIGNoaWNrZW5z, OK
178.79.100.120, cGx1Y2sgMjgzMzQgYW5ncnktZ2Vlc2U=, OK
28.21.194.128, cmVpdGVyYXRlIDE4OTMxIGJpZy1iaXJkcw==, OK
69.49.70.155, cmV0cmVhdCA2OTY0IGFuZ3J5LWdlZXNl, OK
139.160.25.10, ZGVtb2xpc2ggNDI4MiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
170.50.205.24, Y29udnVsc2UgMTcyOTMgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
114.203.61.60, cGljayAyODA2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
36.228.177.188, ZGVzdHJveSAzMTI4MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
133.78.35.156, cmV0cmVhdCAxMTE1MyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
167.40.243.47, cGljayAyMTM0OCBwaWdz, OK
98.119.71.187, ZGVtb2xpc2ggMjIxNTggZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
72.255.208.229, cGljayAxMTc1OSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
186.179.1.8, Y29udnVsc2UgMzEyNzcgZmxpZXM=, OK
118.64.72.33, Y29uY2VhbCA3MTUzIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
62.136.98.60, ZGVtb2xpc2ggNDIzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
112.116.176.70, YXJ0aWN1bGF0ZSAxNzYyIGdlZXNl, OK
82.118.32.172, cGluIDc4MDIgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
