152.142.231.49, cGljayAyMDkwOCBwaWdz, OK
151.96.0.150, YXJ0aWN1bGF0ZSAxNTI2NyBmbGllcw==, OK
3.165.13.240, cmV2ZWFsIDI1MDE2IGNoaWNrZW5z, OK
221.234.176.73, Y29uY2VhbCAxNjUyNSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
28.185.7.103, YXJ0aWN1bGF0ZSAzMDQ3OSBzbWFsbC1iaXJkcw==, OK
5.150.87.93, cGljayA5NzYwIHNtYWxsLWJpcmRz, OK
219.236.13.46, ZGVzdHJveSA2ODMxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
45.184.151.102, ZGVtb2xpc2ggMTYwOTUgZ2Vlc2U=, OK
13.141.4.30, Y29uY2VhbCAxMzgxNCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
207.242.106.204, Y29uY2VhbCAzMjA1IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
151.25.196.252, Y29udnVsc2UgNDU0MSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
138.50.103.173, Y29uY2VhbCA2NzI0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
58.142.147.119, cmV0cmVhdCAxMjk5OCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
109.233.194.150, ZGVtb2xpc2ggMTYyNTkgc21hbGwtYmlyZHM=, OK
84.32.158.51, ZGVtb2xpc2ggNzcyNCBnZWVzZQ==, OK
23.245.212.57, cGluIDI4NzgyIGR1Y2tz, OK
142.169.23.93, YXJ0aWN1bGF0ZSAzMjAxNCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
194.33.101.29, Y29uY2VhbCAxMzIxNSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
115.214.210.138, cmV0cmVhdCA1MTQgZHVja3M=, OK
133.69.15.14, cmVpdGVyYXRlIDEwMzYyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
134.253.128.13, cGljayAzMjUzNSBiaWctYmlyZHM=, OK
28.21.194.128, cmV0cmVhdCAyMDczNiBzbWFsbC1iaXJkcw==, OK
94.22.152.124, YXJ0aWN1bGF0ZSAzMjI0IGFuZ3J5LWdlZXNl, OK
212.199.79.147, cGluIDMxNDEyIHBpZ3M=, OK
150.17.227.95, ZGVzdHJveSAzMDgzOSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
58.43.141.197, cmV2ZWFsIDI0NTkyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
115.34.235.155, cGljayAyOTQyMSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
70.143.216.196, YXJ0aWN1bGF0ZSAyNzk4MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
79.213.236.217, cmV2ZWFsIDEzMzMzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
83.221.222.1, cGluIDIxNDIzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
8.96.140.117, cGljayAxNDMwOSBmbGllcw==, OK
37.184.197.233, cGx1Y2sgMTIzNjkgbWVkaXVtLXNpemVkLWJpcmRz, OK
78.31.150.75, ZGVtb2xpc2ggMTIxMTEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
142.169.23.93, ZGVtb2xpc2ggMjE3MSBhbmdyeS1nZWVzZQ==, OK
66.147.133.216, cGx1Y2sgOTAyMCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
187.197.228.76, ZGVtb2xpc2ggOTUxMSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
16.240.137.80, cmVpdGVyYXRlIDMyNzAxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
43.85.183.77, cGluIDI5MDUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
63.42.81.91, cmV2ZWFsIDE1NDYwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
57.150.73.164, cmVpdGVyYXRlIDEyMzE2IHNtYWxsLWJpcmRz, OK
199.224.63.67, ZGVtb2xpc2ggMjQ2OSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
72.247.208.192, cmVpdGVyYXRlIDUwOTkgcGlncw==, OK
152.142.231.49, Y29udnVsc2UgMTY4NjAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
