145.178.26.187, ZGVzdHJveSAzMTcwNSBkdWNrcw==, OK
121.217.238.54, cGx1Y2sgODc5NyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
22.177.40.26, Y29udnVsc2UgMTc2NTcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
136.226.91.148, cmV2ZWFsIDEwNzM3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
130.105.54.122, cmV0cmVhdCAyNzU2NyBmbGllcw==, OK
151.96.0.150, Y29uY2VhbCAyNzk1IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
46.207.57.51, cmVpdGVyYXRlIDUzNSBnZWVzZQ==, OK
151.175.243.48, Y29uY2VhbCA1NTAwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
33.115.72.245, Y29udnVsc2UgMzE5ODkgc21hbGwtYmlyZHM=, OK
80.97.180.7, YXJ0aWN1bGF0ZSAxODQ0NCBiaWctYmlyZHM=, OK
43.193.231.160, cGljayAxNjQ2MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
114.203.61.60, cGluIDI0NzEgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
3.195.171.141, cGljayAxODQ5NiBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
172.5.102.13, Y29udnVsc2UgMjc3NDggZHVja3M=, OK
123.245.42.67, cGx1Y2sgMTAyNzkgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
74.70.19.34, cmV0cmVhdCAxMDAyNyBiaWctYmlyZHM=, OK
205.192.24.230, Y29udnVsc2UgNDIxMyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
2.187.254.76, ZGVtb2xpc2ggNzU0MSBhbmdyeS1nZWVzZQ==, OK
212.213.208.246, Y29udnVsc2UgMTQyMzkgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
167.244.98.212, ZGVzdHJveSAyMTEzMyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
204.234.174.158, Y29udnVsc2UgNTAyMiBhbmdyeS1nZWVzZQ==, OK
49.185.31.71, YXJ0aWN1bGF0ZSAyNjA0OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
19.219.213.164, ZGVzdHJveSA3NDMwIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
206.36.183.27, cmV0cmVhdCA4MzY3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
77.206.49.204, Y29uY2VhbCAxNTc2OSBzbWFsbC1iaXJkcw==, OK
62.177.226.216, cmVpdGVyYXRlIDIzMDkxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
37.150.85.158, ZGVzdHJveSA4OTYzIGZsaWVz, OK
129.54.11.77, cGljayAxMjA1MiBiaWctYmlyZHM=, OK
166.20.228.12, YXJ0aWN1bGF0ZSA5MjU4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
193.234.202.135, ZGVtb2xpc2ggMzIwNyBnZWVzZQ==, OK
180.210.114.96, cGluIDE3NjYgcGlncw==, OK
113.68.255.66, cGx1Y2sgODQ0NyBnZWVzZQ==, OK
55.115.224.56, cGluIDExMjM0IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
119.13.62.248, cmV0cmVhdCAyMjkwOCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
87.69.250.11, cGx1Y2sgMjM4NTkgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
59.172.148.4, cGx1Y2sgMjQ1NjIgYmlnLWJpcmRz, OK
180.193.241.23, cGluIDE2OTUzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
183.225.165.240, Y29uY2VhbCAzMDI1MSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
75.58.202.188, cGljayAyNTIxOCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
14.199.143.192, cGluIDEzNjg2IGdlZXNl, OK
151.96.0.150, cmVpdGVyYXRlIDQwMyBmbGllcw==, OK
158.171.131.147, cmVpdGVyYXRlIDMwMjA4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
215.185.58.173, YXJ0aWN1bGF0ZSAyNjcxNCBnZWVzZQ==, OK
167.244.98.212, Y29uY2VhbCAyMzE4IGFuZ3J5LWdlZXNl, OK
40.123.179.185, cGluIDYxMDQgY2hpY2tlbnM=, OK
6.128.90.155, Y29udnVsc2UgMTAyMzQgZmxpZXM=, OK
86.218.17.15, YXJ0aWN1bGF0ZSAyNTAxOSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
51.9.39.233, cGx1Y2sgMTgzNDcgcGlncw==, OK
6.128.90.155, cGljayA2MDA0IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
24.99.194.97, ZGVtb2xpc2ggNDc2MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
175.18.14.188, cmV2ZWFsIDI0NzgyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
162.93.114.141, ZGVzdHJveSAxMjg5NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
126.17.127.204, cmV2ZWFsIDEyMDk4IGFuZ3J5LWdlZXNl, OK
110.182.121.81, cGx1Y2sgMTY5NyBnZWVzZQ==, OK
112.147.201.117, ZGVtb2xpc2ggMzI3NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
181.69.169.14, ZGVtb2xpc2ggMjM3NjAgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
26.241.177.205, cmV0cmVhdCA0OTQxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
