86.221.146.42, cGljayAyMTMxMCBmbGllcw==, OK
55.228.143.59, cGx1Y2sgMTA1NzcgYmlnLWJpcmRz, OK
63.162.107.54, cmV2ZWFsIDE3MjE3IGJpZy1iaXJkcw==, OK
76.171.74.40, cmVpdGVyYXRlIDI4MDQzIHBpZ3M=, OK
39.252.132.115, cmVpdGVyYXRlIDE5NTg2IHBpZ3M=, OK
112.125.102.212, Y29uY2VhbCAxOTMxOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
86.211.249.187, cmV0cmVhdCAxNjY0MiBwaWdz, OK
83.57.49.118, ZGVzdHJveSAxNDg2NSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
54.43.32.140, cGx1Y2sgMTUwNDIgcGlncw==, OK
27.248.202.44, cGljayAxNTM3OSBiaWctYmlyZHM=, OK
4.40.197.109, cGx1Y2sgMTMwNjUgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
160.20.250.146, cmVpdGVyYXRlIDMxMTgwIHBpZ3M=, OK
8.96.140.117, cGluIDE0Njk4IGR1Y2tz, OK
24.99.194.97, cmV0cmVhdCAxNTk0MCBkdWNrcw==, OK
150.254.12.177, ZGVtb2xpc2ggMjMyMzkgcGlncw==, OK
20.69.94.150, cmV2ZWFsIDI3ODAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
11.207.166.41, Y29uY2VhbCAxMzcwMCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
74.66.250.251, cGljayAxNzc4MiBhbmdyeS1nZWVzZQ==, OK
151.175.243.48, Y29uY2VhbCA0NjQ1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
58.178.72.73, YXJ0aWN1bGF0ZSAxODIxIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
222.252.126.133, cGluIDIwMzggZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
201.2.101.130, cGljayAxMjA5MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
172.5.102.13, cmVpdGVyYXRlIDcxNjIgZ2Vlc2U=, OK
124.32.23.26, Y29uY2VhbCAyMTY0MCBkdWNrcw==, OK
196.239.224.249, cmVpdGVyYXRlIDQ2ODQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
158.246.116.55, ZGVzdHJveSAyOTY4MCBnZWVzZQ==, OK
190.185.233.63, cGljayA0NjAxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
51.123.105.13, cGx1Y2sgMTcyNTggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
123.142.33.85, Y29udnVsc2UgMTIyOTEgZ2Vlc2U=, OK
130.26.220.191, Y29udnVsc2UgODA0OCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
175.36.51.26, Y29udnVsc2UgMzIyODkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
205.192.24.230, cmV2ZWFsIDIwMjAzIGFuZ3J5LWdlZXNl, OK
87.69.250.11, cmV2ZWFsIDEzODkxIGR1Y2tz, OK
221.234.176.73, cmV0cmVhdCAyMjQ1IGdlZXNl, OK
97.227.93.173, cGluIDE3NjgwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
175.82.110.42, cmV0cmVhdCAyMTY2OSBnZWVzZQ==, OK
36.8.115.64, Y29uY2VhbCAyOTgwNCBzbWFsbC1iaXJkcw==, OK
27.128.19.219, cmV2ZWFsIDI3NzMzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
65.44.5.45, ZGVzdHJveSAyODAzMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
196.20.191.194, dW5kZXJzdGFuZCAxODg2NyBwZWFjZS1sb3ZpbmctZ2Vlc2U=, i-can't-even-comprehend-what-you-are-saying
103.60.230.43, cGljayAxNjY3OSBiaWctYmlyZHM=, OK
209.20.179.144, Y29udnVsc2UgNzc2MSBzbWFsbC1iaXJkcw==, OK
118.64.72.33, cGx1Y2sgNTQyNiBzbWFsbC1iaXJkcw==, OK
188.254.108.225, cmVpdGVyYXRlIDEwMTMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
67.76.92.223, ZGVtb2xpc2ggNTI5MSBwaWdz, OK
215.72.153.2, cGluIDE1ODM5IGR1Y2tz, OK
86.231.11.213, Y29uY2VhbCAzNTM5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
7.155.96.182, cmV0cmVhdCAyODE4OSBwaWdz, OK
70.143.216.196, ZGVtb2xpc2ggMTgwMSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
212.213.208.246, cGluIDE1MjI0IGR1Y2tz, OK
62.187.250.5, ZGVtb2xpc2ggNzk0MyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
167.40.243.47, Y29udnVsc2UgMTE3NTcgZHVja3M=, OK
220.188.29.212, cGluIDE5MTMyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
148.250.46.230, cGx1Y2sgNTk3OCBiaWctYmlyZHM=, OK
108.6.247.28, Y29uY2VhbCAxNTA2OCBnZWVzZQ==, OK
27.92.63.139, YXJ0aWN1bGF0ZSA5MTc2IHBpZ3M=, OK
166.205.21.142, YXJ0aWN1bGF0ZSA0MzEyIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
216.194.121.101, cmVpdGVyYXRlIDc0NzggYW5ncnktZ2Vlc2U=, OK
27.114.171.133, Y29udnVsc2UgMjk5MjAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
205.172.120.159, cmVpdGVyYXRlIDI1NDEwIGR1Y2tz, OK
148.244.65.43, cmV2ZWFsIDI3MzU0IGR1Y2tz, OK
46.248.231.222, cmV0cmVhdCAxMTAxMCBzbWFsbC1iaXJkcw==, OK
31.9.94.134, cmVpdGVyYXRlIDM2NDEgZHVja3M=, OK
181.69.169.14, cmVpdGVyYXRlIDIzNTEyIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
121.200.171.223, cGluIDM2OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
13.141.4.30, cGluIDE0NjA0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
142.5.234.13, cmVpdGVyYXRlIDI2MTMyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
155.81.182.228, cmV2ZWFsIDIxMTQxIGZsaWVz, OK
150.17.227.95, Y29udnVsc2UgMTIyOCBjaGlja2Vucw==, OK
87.187.70.176, cmVpdGVyYXRlIDg2NzUgbWVkaXVtLXNpemVkLWJpcmRz, OK
79.94.31.22, cGljayAyNDU2NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
201.2.101.130, YXJ0aWN1bGF0ZSAyMzE2OCBwaWdz, OK
121.108.153.63, Y29uY2VhbCAzMDcwMiBwaWdz, OK
150.254.12.177, cGx1Y2sgMTk2NjUgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
164.8.189.44, Y29udnVsc2UgMTc3MDQgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
200.220.249.24, Y29udnVsc2UgOTY2MyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
31.9.94.134, cmV0cmVhdCAxMjk4OSBkdWNrcw==, OK
86.221.146.42, Y29udnVsc2UgMjY2MjMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
174.216.79.0, cmV0cmVhdCAxMjQ4NyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
18.44.139.138, ZXhwbGFpbiA3MDY2IG1pbm90YXVycw==, my-socket-is-on-fire!
219.82.76.35, YXJ0aWN1bGF0ZSAzOTE4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
84.36.78.65, Y29udnVsc2UgMjg4MjUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
18.56.125.33, ZGVtb2xpc2ggNzQzIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
212.213.208.246, YXJ0aWN1bGF0ZSAyNDE4MSBmbGllcw==, OK
219.82.169.60, cGluIDI2Nzg3IGJpZy1iaXJkcw==, OK
99.192.249.102, Y29uY2VhbCAxNjU5NiBnZWVzZQ==, OK
174.102.225.238, cGluIDI5MTk5IGZsaWVz, OK
22.244.29.56, Y29uY2VhbCAyMjg2NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
142.169.23.93, ZGVtb2xpc2ggMjU2ODUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
7.89.147.240, Y29udnVsc2UgNzg2IHNtYWxsLWJpcmRz, OK
204.233.20.124, cmVpdGVyYXRlIDU4NTUgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
223.7.173.155, cmVpdGVyYXRlIDI2ODk2IGdlZXNl, OK
7.137.31.5, cmV0cmVhdCAzMDU5IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
19.59.220.47, cGljayAxMzk3NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
168.193.161.178, cmV0cmVhdCAyMjYyMSBiaWctYmlyZHM=, OK
210.88.110.118, Y29uY2VhbCAyODA2OSBhbmdyeS1nZWVzZQ==, OK
30.19.1.172, Y29uY2VhbCAxMDUyNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
103.193.207.104, cmV2ZWFsIDcwMzcgZHVja3M=, OK
164.17.57.184, cmV0cmVhdCA2MTkgZHVja3M=, OK
159.197.26.7, cmVpdGVyYXRlIDE5MzUgbWVkaXVtLXNpemVkLWJpcmRz, OK
