78.225.234.124, cmVpdGVyYXRlIDcwNTcgZmxpZXM=, OK
41.23.239.113, cGljayA0MDY2IGFuZ3J5LWdlZXNl, OK
58.49.205.218, cmVpdGVyYXRlIDI2NzY1IHNtYWxsLWJpcmRz, OK
141.146.107.30, cGx1Y2sgMjIwOTkgYW5ncnktZ2Vlc2U=, OK
146.49.113.60, ZGVzdHJveSAyNTU3MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
93.210.194.87, cmV2ZWFsIDIyNzc5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
55.19.10.106, cGluIDI3NzY2IHBpZ3M=, OK
106.124.225.191, Y29uY2VhbCAyMTE2MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
168.17.134.37, cmVpdGVyYXRlIDY0MzkgZ2Vlc2U=, OK
202.151.148.91, Y29udnVsc2UgODEyMyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
41.123.15.11, cGluIDI4ODEwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
79.94.31.22, cGluIDEyMTQ5IGdlZXNl, OK
18.44.139.138, Y29uY2VhbCAxNzIxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
199.224.63.67, YXJ0aWN1bGF0ZSA0NDExIGdlZXNl, OK
12.176.204.152, cmV2ZWFsIDEyNTc2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
122.137.158.78, cmV0cmVhdCAzODcyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
19.59.220.47, cmVpdGVyYXRlIDE2Nzg1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
173.170.121.190, cGluIDY4MzcgZHVja3M=, OK
57.238.42.249, cGx1Y2sgMjIzMTggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
164.131.134.217, cGx1Y2sgMTE3OCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
33.165.254.175, Y29uY2VhbCAxMDU0MyBzbWFsbC1iaXJkcw==, OK
221.145.151.20, cGx1Y2sgMTYwNTcgZ2Vlc2U=, OK
166.205.21.142, cGx1Y2sgMTAyMDMgZ2Vlc2U=, OK
126.23.255.218, YXJ0aWN1bGF0ZSAyODIyOCBjaGlja2Vucw==, OK
66.147.133.216, cGx1Y2sgMjQ0OTggY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
121.108.153.63, ZGVzdHJveSAzMDk5MSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
139.200.123.74, cGx1Y2sgMzIxNDcgY2hpY2tlbnM=, OK
104.14.74.44, Y29udnVsc2UgMzIwOTggc21hbGwtYmlyZHM=, OK
136.226.91.148, Y29uY2VhbCAxOTMyMyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
129.59.27.187, YXJ0aWN1bGF0ZSAxNTczMSBkdWNrcw==, OK
12.17.53.194, cGljayAyNjk0OCBnZWVzZQ==, OK
4.195.138.100, cmVpdGVyYXRlIDY3MzEgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
59.240.21.88, cmV0cmVhdCAyMjI3MiBwaWdz, OK
28.106.0.116, Y29udnVsc2UgODI2NCBjaGlja2Vucw==, OK
209.83.156.130, cmV0cmVhdCAxOTY4NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
11.156.239.75, cmVpdGVyYXRlIDI0MTMgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
