1.174.54.80, ZGVzdHJveSAxMDMwNyBwaWdz, OK
204.234.174.158, cmV2ZWFsIDIxOTYwIGZsaWVz, OK
99.114.207.121, cGljayAxMDkzMiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
186.179.1.8, cGljayAzMjQ4NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
62.177.226.216, cGx1Y2sgMjkxMDIgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
109.203.1.158, ZGVzdHJveSA1NzQ3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
4.94.81.50, cmV0cmVhdCAyNTEwIGNoaWNrZW5z, OK
86.253.92.193, cGljayAxMTAzNyBzbWFsbC1iaXJkcw==, OK
222.220.54.229, cmV2ZWFsIDMxOTY0IGJpZy1iaXJkcw==, OK
88.229.26.95, cGljayAxMDgwMCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
27.92.63.139, cmVpdGVyYXRlIDE2OTgxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
96.197.47.131, cGluIDE2MjMgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
110.182.121.81, YXJ0aWN1bGF0ZSAyODM4OSBzbWFsbC1iaXJkcw==, OK
50.22.9.49, cmV2ZWFsIDMwMDAxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
126.23.255.218, cGljayAxMzE3MSBhbmdyeS1nZWVzZQ==, OK
79.213.236.217, YXJ0aWN1bGF0ZSAxMzA3MiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
194.74.53.75, cmV2ZWFsIDI5MDYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
15.41.161.186, Y29uY2VhbCA4NTYyIGdlZXNl, OK
79.105.75.119, YXJ0aWN1bGF0ZSAxNjE5OSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
119.54.136.255, cGljayAzMjc2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
188.205.12.225, Y29uY2VhbCAxMzY2MiBiaWctYmlyZHM=, OK
167.236.64.71, Y29uY2VhbCAxNDU1IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
123.81.80.160, Y29udnVsc2UgMzExNDYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
1.102.54.93, ZGVtb2xpc2ggMTU3MTEgc21hbGwtYmlyZHM=, OK
193.234.202.135, cGx1Y2sgMTQ3IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
215.125.118.121, cGluIDgxMzkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
7.155.96.182, ZGVtb2xpc2ggMjk3MDEgZ2Vlc2U=, OK
181.40.121.156, cmVpdGVyYXRlIDkxOTAgY2hpY2tlbnM=, OK
9.157.41.233, cmV2ZWFsIDEyMDY4IGR1Y2tz, OK
35.83.29.145, cmV2ZWFsIDcyMDUgZmxpZXM=, OK
170.212.132.239, ZGVzdHJveSAyMDYgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
143.163.122.204, YXJ0aWN1bGF0ZSAyNjE2MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
129.59.27.187, cmVpdGVyYXRlIDMzNzcgZHVja3M=, OK
22.243.52.188, Y29uY2VhbCAyMzc0NyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
194.74.53.75, ZGVzdHJveSA0NzkyIGdlZXNl, OK
217.124.192.49, ZGVzdHJveSAxNzA2MSBiaWctYmlyZHM=, OK
80.97.180.7, Y29uY2VhbCAyOTk5NiBhbmdyeS1nZWVzZQ==, OK
62.187.250.5, Y29uY2VhbCAyODU1MyBjaGlja2Vucw==, OK
163.103.66.40, cGljayA2MjM2IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
138.68.57.102, cGx1Y2sgMjE5MDkgYmlnLWJpcmRz, OK
36.4.174.181, cmV0cmVhdCAyNzEzNSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
33.165.254.175, cGljayA2ODExIGR1Y2tz, OK
16.240.137.80, cGx1Y2sgMTQyMjIgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
88.229.26.95, ZGVtb2xpc2ggMjgzOTQgc21hbGwtYmlyZHM=, OK
202.151.148.91, cmV0cmVhdCAxNzY0NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
207.242.106.204, cmV2ZWFsIDQwMjcgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
210.134.220.87, cmV0cmVhdCAxMjEwMyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
79.219.208.224, cGluIDIwMTcxIGdlZXNl, OK
173.170.121.190, ZGVzdHJveSAxNzg5NyBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
201.106.31.233, ZGVtb2xpc2ggMzAxMDYgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
103.105.226.142, ZGVzdHJveSAzMTM2MyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
222.136.32.209, cmVpdGVyYXRlIDIzMDQgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
175.186.225.135, cmV2ZWFsIDE5MzEgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
8.96.140.117, ZGVzdHJveSAyMjMzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
14.74.242.160, cGluIDE4MzU2IGR1Y2tz, OK
66.106.115.46, cGx1Y2sgMjg0NjEgYmlnLWJpcmRz, OK
