104.251.246.127, cGluIDIzNDEgbWVkaXVtLXNpemVkLWJpcmRz, OK
87.69.250.11, ZGVtb2xpc2ggODI2MyBnZWVzZQ==, OK
190.170.121.219, ZGVtb2xpc2ggMTk0MzMgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
22.177.40.26, Y29uY2VhbCAxMzg4NCBkdWNrcw==, OK
54.43.32.140, cGluIDMxMjM5IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
18.44.139.138, ZGVtb2xpc2ggMjQ0MDMgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
211.96.59.75, cGx1Y2sgOTEzOCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
194.74.184.124, cGluIDg5NjcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
70.143.216.196, cmVpdGVyYXRlIDE0NTA3IGdlZXNl, OK
57.176.134.170, cmV2ZWFsIDEyNjggc21hbGwtYmlyZHM=, OK
194.74.53.75, Y29uY2VhbCAxMjk1MiBmbGllcw==, OK
207.88.140.131, ZGVzdHJveSAyNDk1OSBkdWNrcw==, OK
112.147.201.117, YXJ0aWN1bGF0ZSA0Njg2IGZsaWVz, OK
152.142.231.49, Y29udnVsc2UgMTk1ODIgZHVja3M=, OK
27.192.142.193, ZGVtb2xpc2ggMzI3NTYgZmxpZXM=, OK
82.153.204.85, Y29uY2VhbCAxNTA4MSBjaGlja2Vucw==, OK
123.142.33.85, ZGVzdHJveSAzMjU0NCBhbmdyeS1nZWVzZQ==, OK
57.1.49.218, cGx1Y2sgMzE3NTIgYmlnLWJpcmRz, OK
65.31.71.65, cGx1Y2sgNzg2MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
35.90.132.245, cGluIDg2NDcgbWVkaXVtLXNpemVkLWJpcmRz, OK
173.169.194.107, Y29uY2VhbCAyNDQ4IGZsaWVz, OK
216.127.16.202, cmV0cmVhdCAxNzY4NCBmbGllcw==, OK
7.89.147.240, Y29udnVsc2UgMTc2NTcgc21hbGwtYmlyZHM=, OK
112.174.164.209, cmV0cmVhdCAyNTExMiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
179.195.108.126, dW5kZXJzdGFuZCAyOTE3MyBwZWFjZS1sb3ZpbmctZ2Vlc2U=, i-can't-even-comprehend-what-you-are-saying
86.74.200.78, ZGVzdHJveSAyNTYyNiBwaWdz, OK
76.171.74.40, cmV0cmVhdCAyMzYzOCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
103.9.195.150, cmVpdGVyYXRlIDEyMDI2IGFuZ3J5LWdlZXNl, OK
21.3.112.225, cmV2ZWFsIDQxMjUgc21hbGwtYmlyZHM=, OK
43.193.231.160, cGljayA0NTI4IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
