66.210.170.112, cmVpdGVyYXRlIDcwOTEgcGlncw==, OK
167.40.243.47, ZGVtb2xpc2ggMjU3OTAgZ2Vlc2U=, OK
33.33.127.73, cGx1Y2sgNjI1MSBmbGllcw==, OK
211.112.192.227, ZGVtb2xpc2ggOTI1MyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
51.221.20.145, cmV2ZWFsIDEwMTIzIGR1Y2tz, OK
118.207.222.57, Y29udnVsc2UgMjY1NjggZHVja3M=, OK
74.250.118.193, YXJ0aWN1bGF0ZSAyNzA2NSBiaWctYmlyZHM=, OK
186.179.1.8, ZGVtb2xpc2ggMjYxMjMgcGlncw==, OK
46.230.136.35, cGx1Y2sgMjM4MTIgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
151.96.0.150, ZGVtb2xpc2ggMTM0MTAgZ2Vlc2U=, OK
7.89.147.240, ZGVzdHJveSAxNDk4MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
70.140.187.114, ZGVzdHJveSAxODYzMiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
123.126.202.63, cmVpdGVyYXRlIDE3MTU2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
73.149.109.44, cmV2ZWFsIDE1MDkyIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
140.174.216.40, cmV2ZWFsIDMxMjUgY2hpY2tlbnM=, OK
141.110.216.217, ZGVtb2xpc2ggMjM1NzQgZHVja3M=, OK
5.26.85.74, ZGVtb2xpc2ggNjQzMyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
202.82.241.179, cmVpdGVyYXRlIDE5MDIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
84.103.102.99, cmV2ZWFsIDIzMTY3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
19.59.220.47, cmV2ZWFsIDQwNDIgc21hbGwtYmlyZHM=, OK
201.105.148.137, Y29udnVsc2UgMjUyNjAgYmlnLWJpcmRz, OK
188.8.17.28, Y29uY2VhbCAzNjEyIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
7.131.74.141, cGljayA3NDE5IGFuZ3J5LWdlZXNl, OK
40.196.246.93, ZGVzdHJveSAzMjQ0NyBwaWdz, OK
155.159.11.151, ZGVtb2xpc2ggMzE3MjkgZmxpZXM=, OK
173.248.229.119, Y29udnVsc2UgMTY4NTcgbWVkaXVtLXNpemVkLWJpcmRz, OK
173.248.229.119, cmV0cmVhdCAyOTIxIHBpZ3M=, OK
202.151.148.91, ZGVtb2xpc2ggMjMzNjkgY2hpY2tlbnM=, OK
7.100.217.47, ZGVzdHJveSAxMTAyMyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
113.172.153.51, cmVpdGVyYXRlIDMwMTkyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
