3.254.161.211, ZGVzdHJveSAyNTEyOCBkdWNrcw==, OK
11.156.239.75, cGluIDM2OTkgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
216.163.38.154, cmVpdGVyYXRlIDEyOTMxIGZsaWVz, OK
110.227.57.206, cGx1Y2sgMjYzNjUgYW5ncnktZ2Vlc2U=, OK
201.155.91.83, cmVpdGVyYXRlIDI0NzIzIGFuZ3J5LWdlZXNl, OK
5.39.159.163, cmV2ZWFsIDU3MjEgbWVkaXVtLXNpemVkLWJpcmRz, OK
106.239.239.226, cGluIDkyODggY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
173.114.183.77, cGx1Y2sgMjY4NjcgZ2Vlc2U=, OK
184.37.94.136, cmV0cmVhdCAzMDc5MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
207.88.140.131, YXJ0aWN1bGF0ZSAxMzU4NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
47.58.15.198, ZGVzdHJveSAxOTYyIGR1Y2tz, OK
98.119.71.187, cmVpdGVyYXRlIDE2MTYzIGdlZXNl, OK
126.23.255.218, cmV2ZWFsIDExODYzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
195.217.255.132, cmV0cmVhdCAxMTcwMCBwaWdz, OK
19.59.220.47, cmVpdGVyYXRlIDI1NzcwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
73.106.30.204, ZGVtb2xpc2ggMTU0ODYgYW5ncnktZ2Vlc2U=, OK
103.105.226.142, ZGVzdHJveSAxNTUzNCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
103.237.123.40, ZGVtb2xpc2ggMjgxNDEgc21hbGwtYmlyZHM=, OK
135.94.212.64, cGljayAzMDY3NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
81.230.172.49, cmV0cmVhdCAyMjgzIGR1Y2tz, OK
72.8.233.155, Y29uY2VhbCAxMTg2NSBwaWdz, OK
159.197.26.7, Y29udnVsc2UgMjE1MDIgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
85.235.230.238, Y29udnVsc2UgMzEwMDEgcGlncw==, OK
152.142.231.49, cGluIDIwNjczIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
104.14.74.44, dW5waW4gMjE1NzUgcGVhY2UtbG92aW5nLWdlZXNl, ouch-that-hurt!
167.40.243.47, Y29uY2VhbCA3MzIyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
63.42.81.91, ZGVtb2xpc2ggMTQ2NTcgY2hpY2tlbnM=, OK
171.96.216.242, cGluIDQ5MzcgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
38.207.150.74, Y29uY2VhbCAxMjEwOCBkdWNrcw==, OK
96.237.50.30, cmVpdGVyYXRlIDE5ODMxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
21.104.18.181, cGluIDQyODYgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
1.174.54.80, cmV0cmVhdCAxMTI1OSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
72.105.145.138, cGx1Y2sgMTI0OTIgZ2Vlc2U=, OK
109.233.194.150, cGljayA5MTQ4IGFuZ3J5LWdlZXNl, OK
58.24.11.42, cmV0cmVhdCAyNjk1OCBhbmdyeS1nZWVzZQ==, OK
41.53.254.97, YXJ0aWN1bGF0ZSAyMTQ5IGZsaWVz, OK
157.176.97.9, cmV0cmVhdCAyOTk0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
16.240.137.80, cGluIDEzOTUyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
97.221.59.87, YXJ0aWN1bGF0ZSAyOTY4MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
138.150.8.71, cGx1Y2sgMjY4NyBwaWdz, OK
82.153.204.85, cGljayA4MTEwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
165.251.5.108, ZGVtb2xpc2ggMjIzNyBjaGlja2Vucw==, OK
15.41.161.186, ZGVzdHJveSAxMDUzNCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
103.60.230.43, cmVpdGVyYXRlIDI4MzMzIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
150.227.34.71, cGljayAyNDkzMCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
36.8.115.64, cmVpdGVyYXRlIDIzMTU0IGJpZy1iaXJkcw==, OK
122.9.31.214, Y29uY2VhbCAxODU4IGdlZXNl, OK
44.104.97.235, Y29uY2VhbCAzMjg4IGZsaWVz, OK
147.123.69.97, cGljayA3ODI1IGJpZy1iaXJkcw==, OK
136.226.91.148, aW50ZWdyYXRlIDIwNzQ0IGRpbm9zYXVycw==, please-make-it-stop
