84.103.102.99, ZGVzdHJveSAyMzYzMCBiaWctYmlyZHM=, OK
62.136.98.60, cGljayAxNDM3MSBkdWNrcw==, OK
148.153.164.44, cmV2ZWFsIDIzMDc5IGdlZXNl, OK
179.117.113.215, cGluIDU4NjQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
32.167.214.50, YXJ0aWN1bGF0ZSAyNTUxOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
4.242.107.225, ZGVtb2xpc2ggMTQ4MzAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
222.220.54.229, cmVpdGVyYXRlIDQwODMgcGlncw==, OK
22.177.40.26, cmV2ZWFsIDE0NjcyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
139.166.23.156, YXJ0aWN1bGF0ZSAzMjE3MCBiaWctYmlyZHM=, OK
122.219.102.179, cmV2ZWFsIDI0NzY4IHNtYWxsLWJpcmRz, OK
159.197.26.7, YXJ0aWN1bGF0ZSA4NTIyIGdlZXNl, OK
211.72.245.20, YXJ0aWN1bGF0ZSA3ODk5IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
133.69.15.14, cmVpdGVyYXRlIDg3MjkgYW5ncnktZ2Vlc2U=, OK
177.221.116.240, cGljayAxMTUxNiBjaGlja2Vucw==, OK
149.47.231.39, ZGVtb2xpc2ggMjM0OTkgY2hpY2tlbnM=, OK
139.36.156.243, YXJ0aWN1bGF0ZSAyMTI1MyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
155.103.23.201, ZGVzdHJveSA3OTk1IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
86.227.74.249, ZGVtb2xpc2ggMzA0NTkgZ2Vlc2U=, OK
51.221.20.145, cGx1Y2sgMjg1NzkgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
7.100.217.47, cGluIDE5MDYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
9.157.41.233, Y29uY2VhbCAxMjM2MiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
39.118.32.25, cmVpdGVyYXRlIDI1NTgzIGR1Y2tz, OK
22.59.35.195, ZGVtb2xpc2ggMTQ0NTkgZmxpZXM=, OK
88.233.226.191, YXJ0aWN1bGF0ZSAyMzQ2MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
160.60.153.194, cGljayAyNzA3MiBhbmdyeS1nZWVzZQ==, OK
3.254.161.211, YXJ0aWN1bGF0ZSAxMTA1MCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
11.156.239.75, ZGVzdHJveSAyNjIxMSBkdWNrcw==, OK
97.221.59.87, Y29uY2VhbCAxNzQyNSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
97.3.92.167, ZGVtb2xpc2ggMjk1NjAgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
5.147.5.175, cGx1Y2sgMzA1MTQgbWVkaXVtLXNpemVkLWJpcmRz, OK
117.164.80.50, cmVpdGVyYXRlIDcwMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
186.31.175.77, cGluIDE5MDcgc21hbGwtYmlyZHM=, OK
183.225.165.240, YXJ0aWN1bGF0ZSAxNDIyMSBwaWdz, OK
33.33.127.73, ZGVtb2xpc2ggMjI2MDMgY2hpY2tlbnM=, OK
33.115.72.245, cmVpdGVyYXRlIDIxMzg2IHBpZ3M=, OK
37.76.224.113, ZGVtb2xpc2ggMjggZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
101.4.199.42, YXJ0aWN1bGF0ZSA2Mzk0IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
65.31.71.65, ZGVzdHJveSAyMTU3MCBhbmdyeS1nZWVzZQ==, OK
