113.68.255.66, cGluIDEwODMgcGlncw==, OK
218.248.202.73, Y29udnVsc2UgMTk1NzcgZHVja3M=, OK
86.218.17.15, cmVpdGVyYXRlIDg3NDIgbWVkaXVtLXNpemVkLWJpcmRz, OK
208.163.4.254, cGluIDMxNjc3IHBpZ3M=, OK
97.221.59.87, cGljayAyMTQyMiBkdWNrcw==, OK
167.244.98.212, ZGVzdHJveSAyNjA3OSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
84.231.185.26, cGluIDE0NzczIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
210.152.56.48, Y29uY2VhbCAzNTYxIGNoaWNrZW5z, OK
159.23.228.154, cmV0cmVhdCAxMTAyMyBhbmdyeS1nZWVzZQ==, OK
80.97.180.7, cGljayAyNTA0OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
136.127.113.206, cGluIDEyMDM3IGR1Y2tz, OK
72.105.145.138, ZGVtb2xpc2ggMjQ1MTkgYmlnLWJpcmRz, OK
21.79.191.172, cmV0cmVhdCAxNDYyOCBhbmdyeS1nZWVzZQ==, OK
87.75.155.245, ZGVtb2xpc2ggOTQ5OCBnZWVzZQ==, OK
125.34.6.39, Y29udnVsc2UgMjgwMTQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
42.81.73.43, cmV2ZWFsIDc5NzEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
129.59.27.187, cmV2ZWFsIDIwOTA3IGNoaWNrZW5z, OK
177.19.165.78, Y29udnVsc2UgNjgwMCBwaWdz, OK
104.251.246.127, cmV0cmVhdCAyODc2NyBmbGllcw==, OK
112.125.102.212, ZGVtb2xpc2ggMjY3MjYgZHVja3M=, OK
22.133.173.111, cmV0cmVhdCAyNjk0MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
173.169.194.107, cGljayAyNTQ2MyBnZWVzZQ==, OK
66.210.170.112, Y29uY2VhbCA4NjMgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
54.219.20.106, cGx1Y2sgMjQ1MzIgcGlncw==, OK
102.215.173.86, ZGVtb2xpc2ggNzg4NCBzbWFsbC1iaXJkcw==, OK
174.216.79.0, Y29uY2VhbCA3MjA3IGJpZy1iaXJkcw==, OK
91.206.217.101, cGluIDg5MjIgY2hpY2tlbnM=, OK
208.96.107.241, cmV0cmVhdCAyOTAyIHBpZ3M=, OK
188.254.108.225, YXJ0aWN1bGF0ZSAyOTA5MCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
157.33.133.180, cmVpdGVyYXRlIDIwNzczIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
89.98.201.70, ZGVzdHJveSAyMDk1OSBmbGllcw==, OK
95.23.17.175, cmVpdGVyYXRlIDI4ODUyIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
48.61.180.178, cGluIDE3MDM0IGJpZy1iaXJkcw==, OK
98.27.205.206, Y29uY2VhbCAyNDk4MyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
19.8.20.123, ZGVzdHJveSA1MzA5IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
108.228.51.175, cmV0cmVhdCAyMDA2OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
91.124.190.109, cmV0cmVhdCAxMTU5MyBzbWFsbC1iaXJkcw==, OK
117.193.231.168, cmV2ZWFsIDMxNjExIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
92.111.49.117, ZGVzdHJveSAyNTcxMyBwaWdz, OK
45.184.151.102, cmV2ZWFsIDEwMSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
80.113.205.197, cmV0cmVhdCA5ODk0IGdlZXNl, OK
187.87.217.237, ZGVzdHJveSAxMDM4NCBwaWdz, OK
63.69.169.175, cmV0cmVhdCAxOTk2NCBzbWFsbC1iaXJkcw==, OK
41.23.239.113, cGluIDk2NjcgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
79.219.208.224, cmV0cmVhdCAxOTI3NiBwaWdz, OK
177.89.56.237, cmVpdGVyYXRlIDMwOTczIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
79.219.208.224, cGljayAxMzc4OSBiaWctYmlyZHM=, OK
84.231.185.26, cmV0cmVhdCAxMTY3MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
4.242.107.225, Y29uY2VhbCA2MTQyIHNtYWxsLWJpcmRz, OK
216.216.121.251, Y29udnVsc2UgMTE2MSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
55.228.143.59, cGljayAyMjU5NSBzbWFsbC1iaXJkcw==, OK
130.26.220.191, cmVpdGVyYXRlIDIzNjIyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
129.54.11.77, ZGVtb2xpc2ggNjE0NCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
2.168.43.74, YXJ0aWN1bGF0ZSAxOTgyOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
166.20.228.12, cGx1Y2sgMjA2OTAgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
179.195.108.126, ZGVzdHJveSA2ODI5IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
170.206.70.64, cGx1Y2sgMzA3MjMgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
35.3.107.248, Y29uY2VhbCAxNTQxNSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
104.14.74.44, Y29udnVsc2UgMjM0MTIgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
137.56.77.160, cGluIDI3MzA3IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
167.244.98.212, ZGVtb2xpc2ggMzE1MTIgY2hpY2tlbnM=, OK
103.60.230.43, ZGVtb2xpc2ggMjg4MTMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
105.160.114.234, cmV0cmVhdCAxNzk4NyBiaWctYmlyZHM=, OK
57.238.42.249, cmV2ZWFsIDE3NTQ4IGNoaWNrZW5z, OK
11.97.202.168, Y29udnVsc2UgNjcxNCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
134.108.99.215, cmVpdGVyYXRlIDM2MDYgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
56.150.110.224, cGx1Y2sgMTgyMzggc21hbGwtYmlyZHM=, OK
32.229.137.177, YXJ0aWN1bGF0ZSAyMzE2NiBnZWVzZQ==, OK
89.59.227.195, ZGVzdHJveSAyNTgyMiBmbGllcw==, OK
77.206.49.204, cGx1Y2sgMjIxNzMgYmlnLWJpcmRz, OK
26.241.177.205, YXJ0aWN1bGF0ZSAxMTYxMCBjaGlja2Vucw==, OK
124.54.1.70, Y29uY2VhbCAxMTI3MyBzbWFsbC1iaXJkcw==, OK
84.103.102.99, cGx1Y2sgMjc2MDUgc21hbGwtYmlyZHM=, OK
181.69.169.14, YXJ0aWN1bGF0ZSA1NDIyIGFuZ3J5LWdlZXNl, OK
189.68.97.243, cmV0cmVhdCAzNDM3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
59.69.208.231, cmV2ZWFsIDMwNTg1IGNoaWNrZW5z, OK
103.105.226.142, Y29uY2VhbCAyMjUxOSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
136.127.113.206, cGljayAxMzA4NiBnZWVzZQ==, OK
193.234.202.135, cGx1Y2sgMjAwNzYgZmxpZXM=, OK
