163.103.66.40, cGljayAyMTgzMiBnZWVzZQ==, OK
71.48.84.6, cGx1Y2sgMjE2NzYgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
13.202.58.234, cGluIDI5NjggbWVkaXVtLXNpemVkLWJpcmRz, OK
191.241.150.115, cGljayAyMDYxOCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
37.184.197.233, cGluIDY5NzYgYW5ncnktZ2Vlc2U=, OK
126.205.155.227, Y29uY2VhbCAxNzM3OCBnZWVzZQ==, OK
79.213.236.217, YXJ0aWN1bGF0ZSAyMjcwIGJpZy1iaXJkcw==, OK
93.210.194.87, cGx1Y2sgNjIwIGFuZ3J5LWdlZXNl, OK
131.255.185.165, ZGVzdHJveSA0MjgwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
48.47.163.88, ZGVtb2xpc2ggMTc2MjIgc21hbGwtYmlyZHM=, OK
143.163.122.204, ZGVtb2xpc2ggODIxOCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
41.23.239.113, Y29uY2VhbCAyMDIzNyBiaWctYmlyZHM=, OK
31.140.39.210, cGluIDg5OTAgZmxpZXM=, OK
28.106.0.116, ZGVtb2xpc2ggNzc0MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
19.219.213.164, ZGVzdHJveSAxMDEgcGlncw==, OK
163.103.66.40, YXJ0aWN1bGF0ZSAxMzc5OSBkdWNrcw==, OK
58.142.147.119, ZGVzdHJveSA2NTM5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
115.34.235.155, Y29uY2VhbCAxNjczMyBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
1.174.54.80, cmVpdGVyYXRlIDE1Nzk5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
68.141.123.191, dW5waW4gMTc4MjAgZGlub3NhdXJz, i-can't-even-comprehend-what-you-are-saying
