98.199.198.28, cGluIDMzMTYgZmxpZXM=, OK
143.39.8.178, ZGVtb2xpc2ggMTMxOTAgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
1.102.54.93, cGluIDE0ODY3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
222.136.131.236, cGljayAyNjMzMCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
173.195.88.193, cmV2ZWFsIDE1NjkxIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
154.79.115.97, cGluIDE4NDAwIGJpZy1iaXJkcw==, OK
66.210.170.112, cmV2ZWFsIDMwNzkyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
91.206.217.101, cmVpdGVyYXRlIDEzNjgyIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
21.104.18.181, ZGVtb2xpc2ggMjIzNjIgYmlnLWJpcmRz, OK
178.13.180.171, cmVpdGVyYXRlIDI4MDY0IGR1Y2tz, OK
122.9.31.214, cmVpdGVyYXRlIDI1MjA3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
145.134.33.91, cGljayAyNjU3MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
24.169.27.44, ZGVtb2xpc2ggMTcwOCBnZWVzZQ==, OK
61.2.126.216, cGljayA1MjM4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
201.155.91.83, cGljayAyMjg5NyBmbGllcw==, OK
216.216.121.251, cGx1Y2sgMjIwNzYgYmlnLWJpcmRz, OK
142.5.234.13, Y29udnVsc2UgOTc4OSBmbGllcw==, OK
6.247.137.205, ZGVzdHJveSAxODAyOSBzbWFsbC1iaXJkcw==, OK
31.140.39.210, cGx1Y2sgNzg2MiBzbWFsbC1iaXJkcw==, OK
186.42.178.12, Y29uY2VhbCAyNDAzMyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
43.233.192.233, cGljayAxMzg3NiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
37.150.85.158, cGljayA1MjUzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
46.230.136.35, cmV2ZWFsIDI5NDAyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
58.30.69.74, cmV2ZWFsIDIyNzMgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
41.123.15.11, YXJ0aWN1bGF0ZSAzMjU1MiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
150.227.34.71, cGx1Y2sgMTgxNjkgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
53.167.113.171, ZGVzdHJveSAxNjY3MyBhbmdyeS1nZWVzZQ==, OK
68.192.53.51, YXJ0aWN1bGF0ZSAxMzQzMCBwaWdz, OK
204.233.20.124, cGljayAxMzkwMSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
96.221.253.172, Y29uY2VhbCAyNTA2MyBzbWFsbC1iaXJkcw==, OK
137.56.77.160, Y29uY2VhbCA4NTgwIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
33.33.127.73, Y29uY2VhbCAyMTMzNiBjaGlja2Vucw==, OK
172.94.13.185, Y29udnVsc2UgMjUzNDYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
208.163.4.254, cGluIDEzODMyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
208.217.176.191, cmVpdGVyYXRlIDIxMjMgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
215.82.205.4, ZGVzdHJveSAxNjQwMSBjaGlja2Vucw==, OK
125.232.68.51, cGljayAyNTkyNSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
198.35.38.88, ZGVtb2xpc2ggOTcwMSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
84.74.101.239, YXJ0aWN1bGF0ZSAyNTMxNyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
66.186.105.210, Y29udnVsc2UgMTE3MDkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
108.6.247.28, YXJ0aWN1bGF0ZSAyNzE3NCBiaWctYmlyZHM=, OK
58.49.205.218, Y29uY2VhbCAyNTEwMCBwaWdz, OK
108.6.247.28, ZGVtb2xpc2ggMzY3MCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
80.113.205.197, cmVpdGVyYXRlIDUwNDMgZHVja3M=, OK
41.53.254.97, cmV0cmVhdCAxODU0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
21.3.112.225, cGx1Y2sgMTI2NTIgcGlncw==, OK
28.5.135.93, ZGVzdHJveSAxNDUyOSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
151.96.0.150, Y29udnVsc2UgMTYxNDYgZ2Vlc2U=, OK
101.4.199.42, YXJ0aWN1bGF0ZSAxOTExIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
62.177.226.216, cmV0cmVhdCAxMTg0MyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
22.59.35.195, YXJ0aWN1bGF0ZSAzMDI0NSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
106.124.225.191, Y29udnVsc2UgOTE0NyBkdWNrcw==, OK
59.240.21.88, cGx1Y2sgMjg3MjkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
103.237.123.40, cmVpdGVyYXRlIDUyMzkgYW5ncnktZ2Vlc2U=, OK
130.65.15.183, cGx1Y2sgNjY4MSBnZWVzZQ==, OK
47.89.152.15, Y29udnVsc2UgMTAxMzggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
15.238.143.168, cmV0cmVhdCAyNDUwMyBmbGllcw==, OK
4.195.138.100, ZGVtb2xpc2ggMjMyNTEgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
216.216.121.251, cGluIDEyNyBmbGllcw==, OK
36.244.31.251, cGluIDIwODA3IGJpZy1iaXJkcw==, OK
101.4.199.42, ZGVtb2xpc2ggMzkwOCBkdWNrcw==, OK
58.204.52.96, Y29uY2VhbCAzMTk5MCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
68.192.53.51, cmVpdGVyYXRlIDIxMDI1IGNoaWNrZW5z, OK
115.230.210.139, cmV2ZWFsIDI4ODEwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
188.8.17.28, Y29uY2VhbCAxNDc0MSBkdWNrcw==, OK
87.187.70.176, Y29uY2VhbCAyMCBnZWVzZQ==, OK
36.110.253.88, Y29udnVsc2UgMzA1NjcgcGlncw==, OK
115.32.254.117, Y29udnVsc2UgMTIzMTAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
146.49.113.60, cGx1Y2sgMzAgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
94.207.15.249, cmV0cmVhdCAyOTE3OCBhbmdyeS1nZWVzZQ==, OK
40.196.246.93, cGljayAxNjI4NSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
5.147.5.175, cmVpdGVyYXRlIDIyMzEzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
92.25.82.181, cGluIDIyMTc1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
159.193.174.124, cmVpdGVyYXRlIDI3NDcyIGZsaWVz, OK
202.134.172.48, cmV2ZWFsIDYxMDkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
167.236.64.71, cmV2ZWFsIDE5OTY0IGJpZy1iaXJkcw==, OK
115.66.122.198, cmV2ZWFsIDk1MTMgYW5ncnktZ2Vlc2U=, OK
90.98.142.173, Y29udnVsc2UgNzEwIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
26.194.46.241, ZGVtb2xpc2ggMjkzODcgYW5ncnktZ2Vlc2U=, OK
124.39.251.232, cmV0cmVhdCAxOTQxMiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
166.145.170.121, YXJ0aWN1bGF0ZSAyMDY0OSBnZWVzZQ==, OK
184.37.94.136, cmV0cmVhdCA0OTQ0IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
148.250.46.230, YXJ0aWN1bGF0ZSA2NDcwIGdlZXNl, OK
123.81.80.160, cGluIDIzNjc5IGJpZy1iaXJkcw==, OK
184.37.94.136, YXJ0aWN1bGF0ZSAyMzExNiBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
45.34.234.145, cGljayAxMDc2MiBjaGlja2Vucw==, OK
123.142.33.85, YXJ0aWN1bGF0ZSAyNzUxNCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
170.212.132.239, ZGVzdHJveSAxMzU3OCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
141.146.107.30, Y29uY2VhbCAyODYyMSBiaWctYmlyZHM=, OK
90.139.220.113, cGljayAyNjA3MCBmbGllcw==, OK
186.128.208.205, Y29uY2VhbCAxMjYxMiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
22.59.35.195, cmVpdGVyYXRlIDE3MDc3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
88.1.240.178, Y29udnVsc2UgMTM4ODggYmlnLWJpcmRz, OK
162.89.46.165, cmV0cmVhdCAyNzU5NSBwaWdz, OK
106.239.239.226, cmV0cmVhdCAyNDQzNSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
222.136.131.236, cmVpdGVyYXRlIDE0MzU1IGNoaWNrZW5z, OK
212.199.79.147, cmVpdGVyYXRlIDI4OTAzIHBpZ3M=, OK
24.169.27.44, Y29udnVsc2UgNzg0NiBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
45.112.153.234, cGluIDM5NTUgZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
86.218.17.15, aW50ZWdyYXRlIDEyMzE4IHBlYWNlLWxvdmluZy1nZWVzZQ==, i-can't-even-comprehend-what-you-are-saying
