48.61.180.178, cGljayAxMTczOSBiaWctYmlyZHM=, OK
27.128.19.219, cGx1Y2sgMjY5MDMgYmlnLWJpcmRz, OK
26.18.139.162, ZGVtb2xpc2ggMTg2ODIgbWVkaXVtLXNpemVkLWJpcmRz, OK
57.1.49.218, cmVpdGVyYXRlIDgxNjcgcGlncw==, OK
52.73.189.64, Y29udnVsc2UgMjcxNDEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
79.94.31.22, cGljayAzMTA0NSBzbWFsbC1iaXJkcw==, OK
2.145.214.193, Y29uY2VhbCAzMjA0MCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
123.81.80.160, cmV2ZWFsIDMyMzc0IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
84.44.84.180, ZGVzdHJveSAxNTIgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
153.91.199.15, Y29udnVsc2UgMjk4MzkgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
73.91.41.127, cmV0cmVhdCA3NzAyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
119.13.62.248, cmV0cmVhdCAxMzA1IHBpZ3M=, OK
111.107.111.92, cGx1Y2sgMjI5MDQgbWVkaXVtLXNpemVkLWJpcmRz, OK
217.93.54.204, Y29udnVsc2UgMjk2NzggZHVja3M=, OK
143.163.122.204, ZGVtb2xpc2ggMTEwNjMgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
14.199.143.192, Y29udnVsc2UgMjM5NzQgbWVkaXVtLXNpemVkLWJpcmRz, OK
147.171.254.20, cGluIDEzNTg1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
39.32.158.172, cmV2ZWFsIDEwODQwIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
5.31.52.103, ZGVzdHJveSAxMzUwMSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
7.137.31.5, cGljayA0NjI5IGFuZ3J5LWdlZXNl, OK
216.176.90.137, YXJ0aWN1bGF0ZSAxMTY0OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
26.245.224.93, cmV2ZWFsIDMxNjQ4IGFuZ3J5LWdlZXNl, OK
80.97.180.7, cmV0cmVhdCAyNDU3NyBmbGllcw==, OK
28.106.0.116, ZGVtb2xpc2ggMTE2NDYgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
177.89.56.237, cGluIDc0ODggZHVja3Mtd2hvLWFyZS1wYWNpZmlzdHM=, OK
177.89.56.237, Y29udnVsc2UgOTQxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
