97.3.92.167, ZGVzdHJveSAyNDQzMSBnZWVzZQ==, OK
45.247.136.64, cmVpdGVyYXRlIDY5NDYgcGlncw==, OK
83.217.104.213, cmV0cmVhdCA1MjY0IGdlZXNl, OK
125.34.6.39, ZGVtb2xpc2ggMTczNjggbWVkaXVtLXNpemVkLWJpcmRz, OK
205.114.97.7, cmV0cmVhdCA0OTE5IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
2.168.43.74, ZGVtb2xpc2ggOTI5OSBnZWVzZQ==, OK
84.159.97.248, cGluIDMxMDE5IHNtYWxsLWJpcmRz, OK
15.238.32.162, Y29uY2VhbCAxMzk2NSBjaGlja2Vucw==, OK
46.230.136.35, cmV0cmVhdCA2ODI3IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
38.207.150.74, YXJ0aWN1bGF0ZSA1MzE4IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
196.129.90.243, cmVpdGVyYXRlIDI3NjAgZmxpZXM=, OK
130.242.234.8, cmVpdGVyYXRlIDIyMDY5IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
14.101.252.40, Y29uY2VhbCAxMDE5MyBkdWNrcw==, OK
134.108.99.215, cmVpdGVyYXRlIDIyOTU1IGdlZXNl, OK
66.251.74.113, cmV0cmVhdCAxOTcyNCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
55.196.129.42, cGljayA5ODcyIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
2.168.43.74, ZGVzdHJveSAyMTE2OSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
169.64.253.192, cmVpdGVyYXRlIDYwNjcgbWVkaXVtLXNpemVkLWJpcmRz, OK
139.166.23.156, ZGVtb2xpc2ggMTMwMjYgYmlnLWJpcmRz, OK
41.20.200.48, cGluIDIxNDU3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
80.113.205.197, YXJ0aWN1bGF0ZSA3NTkxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
188.119.196.244, cmV0cmVhdCA0ODQ4IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
181.187.128.124, cGluIDE5NzM4IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
89.98.201.70, cGx1Y2sgMjgwMDAgZHVja3M=, OK
215.185.58.173, cGljayAyNTY5IGFuZ3J5LWdlZXNl, OK
207.242.106.204, cGluIDE5MDE0IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
6.247.137.205, Y29udnVsc2UgMTgyNTAgYmlnLWJpcmRz, OK
1.0.169.69, cGluIDIwNTg3IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
173.170.121.190, cmVpdGVyYXRlIDIwNDU5IGFuZ3J5LWdlZXNl, OK
133.236.20.28, cGx1Y2sgMjk1NjUgZHVja3M=, OK
145.141.241.88, Y29uY2VhbCA3NjIwIGR1Y2tz, OK
45.247.136.64, cGluIDE5MDc4IGNoaWNrZW5z, OK
84.103.102.99, cmV2ZWFsIDE0NDA3IGdlZXNl, OK
222.136.32.209, cmV2ZWFsIDE0Njk1IGNoaWNrZW5z, OK
83.221.222.1, ZGVzdHJveSA1OTk3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
208.121.247.230, Y29udnVsc2UgODk3MyBwaWdz, OK
211.136.24.17, cGx1Y2sgNDA2NSBkdWNrcw==, OK
4.195.138.100, ZGVzdHJveSAyMTY3NiBwaWdz, OK
110.29.38.145, ZGVzdHJveSAzMjM3IHBpZ3M=, OK
23.245.212.57, ZGVzdHJveSAyMTg0IGR1Y2tz, OK
43.233.192.233, YXJ0aWN1bGF0ZSAxMDQwNiBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
76.171.74.40, Y29udnVsc2UgOTYxIGdlZXNl, OK
147.72.202.204, ZGVzdHJveSAzMDAwNiBzbWFsbC1iaXJkcw==, OK
38.207.150.74, cmV0cmVhdCAyNzkyMCBhbmdyeS1nZWVzZQ==, OK
165.251.5.108, cGljayA3NzY1IGdlZXNl, OK
139.166.23.156, ZGVtb2xpc2ggMTQ2NzQgbWVkaXVtLXNpemVkLWJpcmRz, OK
199.115.113.213, cmV0cmVhdCAxNjA2MSBhbmdyeS1nZWVzZQ==, OK
6.247.137.205, YXJ0aWN1bGF0ZSAxNzE2NSBzbWFsbC1iaXJkcw==, OK
15.238.143.168, ZGVtb2xpc2ggMjAzMjAgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
73.106.30.204, cGljayAyMjM3NyBwaWdz, OK
121.217.238.54, cmVpdGVyYXRlIDE0NTE0IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
134.108.99.215, ZGVtb2xpc2ggMjk2NjkgYmlnLWJpcmRz, OK
91.115.216.159, Y29udnVsc2UgMzc1NiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
46.207.57.51, cmV0cmVhdCA3NDM4IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
80.117.97.217, cGluIDU5MTcgZmxpZXM=, OK
55.196.129.42, Y29uY2VhbCA2NjE1IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
164.17.57.184, cmVpdGVyYXRlIDIwOTU4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
166.20.228.12, cGluIDE5MTM5IGJpZy1iaXJkcw==, OK
180.70.93.191, ZGVzdHJveSAyODYwIGFuZ3J5LWdlZXNl, OK
75.229.157.125, cmVpdGVyYXRlIDk3ODEgc21hbGwtYmlyZHM=, OK
19.59.220.47, YXJ0aWN1bGF0ZSAyOTgxMyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
172.5.102.13, cGx1Y2sgMTI2NTQgbWVkaXVtLXNpemVkLWJpcmRz, OK
123.81.80.160, cGluIDI0MjY3IGJpZy1iaXJkcw==, OK
163.249.181.55, cGluIDEwOCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
