219.82.169.60, cGljayAxNTQzMSBkdWNrcw==, OK
210.152.56.48, cGluIDI3MjUzIGZsaWVz, OK
109.203.1.158, Y29udnVsc2UgMjcwNSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
124.32.23.26, cGluIDI5NDk2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
58.49.205.218, cmVpdGVyYXRlIDEwNDk0IGdlZXNl, OK
99.192.249.102, cGluIDIyNDQ4IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
23.53.254.89, YXJ0aWN1bGF0ZSAyMzE4MCBwaWdz, OK
143.179.239.37, cGx1Y2sgMTk3NTAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
102.89.93.74, Y29uY2VhbCAyMzk4NiBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
122.137.158.78, ZGVtb2xpc2ggMTY5NiBhbmdyeS1nZWVzZQ==, OK
21.104.18.181, ZGVtb2xpc2ggMjkxMzkgc21hbGwtYmlyZHM=, OK
51.221.20.145, Y29udnVsc2UgMTk3MTkgY2hpY2tlbnM=, OK
106.124.225.191, cmV2ZWFsIDIxNzY2IGdlZXNl, OK
170.206.70.64, cmV0cmVhdCAzMjMxMCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
103.9.195.150, cGx1Y2sgMjQ5ODEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
18.44.205.35, Y29uY2VhbCAxMjU5OSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
150.254.12.177, ZGVzdHJveSAyNDg3MSBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
188.119.196.244, ZGVtb2xpc2ggMjQ4MDEgcGlncw==, OK
39.118.32.25, cmVpdGVyYXRlIDIxNTMgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
46.207.57.51, Y29uY2VhbCAxODQ2NCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
157.152.248.114, cGx1Y2sgOTMxNiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
199.224.63.67, cmV2ZWFsIDIzNzAyIGZsaWVz, OK
26.62.22.221, YXJ0aWN1bGF0ZSAxMTcxIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
143.238.143.123, ZGVzdHJveSAxNTQ1OSBzbWFsbC1iaXJkcw==, OK
91.74.8.103, cGx1Y2sgMTM0MTYgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
2.167.7.113, ZGVtb2xpc2ggMTEyNTAgYmlnLWJpcmRz, OK
217.124.192.49, YXJ0aWN1bGF0ZSAxNDg3MyBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
190.250.246.216, cGljayAxNDc5MyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
94.101.65.75, ZGVtb2xpc2ggMTY5NjUgcGlncw==, OK
219.82.76.35, cmV0cmVhdCA5OTUgZ2Vlc2U=, OK
115.230.210.139, cGljayAyNjc0NSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
86.253.92.193, YXJ0aWN1bGF0ZSA0ODQxIGFuZ3J5LWdlZXNl, OK
88.1.240.178, ZGVzdHJveSAxNzYwNCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
46.248.231.222, cGx1Y2sgMjkwNTggZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
63.162.107.54, Y29udnVsc2UgMTI2NjIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
77.27.36.163, YXJ0aWN1bGF0ZSAyMDE2MSBjaGlja2Vucw==, OK
96.197.47.131, cGx1Y2sgMjg0NDggcGlncw==, OK
47.58.15.198, Y29uY2VhbCA1ODIwIGJpZy1iaXJkcw==, OK
28.106.0.116, Y29udnVsc2UgMzEwOTUgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
73.5.245.228, cmVpdGVyYXRlIDI2Mzc2IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
55.19.10.106, cGx1Y2sgMTA5OTMgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
109.33.29.85, Y29uY2VhbCAyNjExOCBkdWNrcw==, OK
167.244.98.212, cmV2ZWFsIDIxODE1IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
11.207.166.41, Y29udnVsc2UgODQgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
175.83.206.13, cmVpdGVyYXRlIDMyNDQ0IHNtYWxsLWJpcmRz, OK
119.113.194.88, ZGVzdHJveSAyOTU1MyBzbWFsbC1iaXJkcw==, OK
142.5.234.13, cmV2ZWFsIDQ4MTEgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
27.248.202.44, ZGVtb2xpc2ggMTY1MTUgbWVkaXVtLXNpemVkLWJpcmRz, OK
133.69.15.14, ZGVtb2xpc2ggMTk0NjUgZ2Vlc2U=, OK
195.217.255.132, cmV2ZWFsIDU1ODkgZ2Vlc2U=, OK
35.225.248.181, cGx1Y2sgNjIwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
118.207.222.57, cmV2ZWFsIDE0NDkzIHNtYWxsLWJpcmRz, OK
42.73.85.62, ZGVzdHJveSAxMjY3OSBkdWNrcw==, OK
210.88.110.118, cGljayAyNjU0NyBhbmdyeS1nZWVzZQ==, OK
9.157.41.233, cmV2ZWFsIDE4NDUxIGFuZ3J5LWdlZXNl, OK
199.115.113.213, cGluIDUxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
178.79.100.120, YXJ0aWN1bGF0ZSAxMDc2NyBhbmdyeS1nZWVzZQ==, OK
219.82.169.60, cGx1Y2sgNzM3IGNoaWNrZW5z, OK
33.115.72.245, cGluIDkwNDYgY2hpY2tlbnM=, OK
54.117.196.173, YXJ0aWN1bGF0ZSAxNjI2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
146.49.113.60, ZGVtb2xpc2ggMTIzMzcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
33.209.49.93, ZGVzdHJveSAyNDkzNSBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
179.195.108.126, cGljayAyNzQzNyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
122.9.31.214, cGluIDE4NDIwIGdlZXNl, OK
69.61.212.135, cGluIDExNDE3IGR1Y2tz, OK
87.75.155.245, Y29uY2VhbCAxNDgwNiBiaWctYmlyZHM=, OK
42.73.85.62, ZGVzdHJveSAxNDc2OSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
143.39.8.178, cGljayAzODIwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
63.162.107.54, YXJ0aWN1bGF0ZSAxMTk0OCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
74.70.19.34, cGluIDExNTMyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
23.53.254.89, YXJ0aWN1bGF0ZSAxNDI1MyBzbWFsbC1iaXJkcw==, OK
16.133.233.120, cGx1Y2sgMTk5OTIgYW5ncnktZ2Vlc2U=, OK
181.69.169.14, ZGVzdHJveSAyNjY1MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
58.204.52.96, cmVpdGVyYXRlIDc2NzAgY2hpY2tlbnM=, OK
124.39.251.232, cmV0cmVhdCAzMTY5OCBnZWVzZQ==, OK
15.41.161.186, YXJ0aWN1bGF0ZSAzMDgxMiBmbGllcw==, OK
59.69.208.231, cGluIDE4ODQyIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
175.18.14.188, cmV0cmVhdCAxMDQyNiBhbmdyeS1nZWVzZQ==, OK
13.166.245.92, YXJ0aWN1bGF0ZSAxNTM4NSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
58.43.141.197, YXJ0aWN1bGF0ZSA4Mzc2IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
80.97.180.7, YXJ0aWN1bGF0ZSAyODU5NCBhbmdyeS1nZWVzZQ==, OK
164.17.57.184, cmV0cmVhdCAxMzIyNCBkdWNrcw==, OK
7.137.31.5, cmV2ZWFsIDI1OTMxIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
124.32.23.26, Y29udnVsc2UgMjkzODMgYW5ncnktZ2Vlc2U=, OK
86.227.74.249, YXJ0aWN1bGF0ZSAyMTQ1NyBiaWctYmlyZHM=, OK
57.1.49.218, cGluIDE5NjIwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
37.184.197.233, cGljayAxNjEgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
39.118.32.25, cmV2ZWFsIDEzMDc2IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
180.210.114.96, cGljayAyMDgzOCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
82.118.32.172, cmV2ZWFsIDIxMzA2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
155.174.251.221, cmVpdGVyYXRlIDIxMzIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
222.136.32.209, ZGVzdHJveSAyMDQ4MyBjaGlja2Vucw==, OK
108.38.251.104, ZGVzdHJveSA5MDc1IHBpZ3M=, OK
37.184.197.233, YXJ0aWN1bGF0ZSAxNjg0NyBnZWVzZQ==, OK
123.245.42.67, cmVpdGVyYXRlIDExNTA4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
100.220.174.255, cGluIDEwOTk3IHNtYWxsLWJpcmRz, OK
57.183.63.73, cmV0cmVhdCAyNTMwMiBhbmdyeS1nZWVzZQ==, OK
35.225.248.181, ZGVtb2xpc2ggMTEzMCBjaGlja2Vucw==, OK
160.20.250.146, Y29udnVsc2UgMTg2OTggYmlnLWJpcmRz, OK
88.233.226.191, Y29udnVsc2UgMzE4MzAgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
