55.25.215.34, cGljayAzMjUwOCBkdWNrcw==, OK
148.153.164.44, cGljayAxMjA1NSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
67.76.92.223, Y29uY2VhbCAzMDU0NCBjaGlja2Vucw==, OK
222.17.255.57, cmV2ZWFsIDgxMTAgbWVkaXVtLXNpemVkLWJpcmRz, OK
158.246.116.55, cmV2ZWFsIDMyNDc5IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
221.26.187.104, ZGVzdHJveSA4MzE5IGJpZy1iaXJkcw==, OK
168.193.161.178, cGx1Y2sgMTQ0IGZsaWVz, OK
178.13.180.171, cGljayAxMTMxNyBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
201.155.91.83, cmVpdGVyYXRlIDExOTE2IGNoaWNrZW5z, OK
5.150.87.93, cGx1Y2sgMjczNDcgbWVkaXVtLXNpemVkLWJpcmRz, OK
27.149.50.25, YXJ0aWN1bGF0ZSAyMjQyMSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
200.29.175.189, YXJ0aWN1bGF0ZSAxNzg3MSBwaWdz, OK
37.76.224.113, Y29udnVsc2UgMTU4NDcgYW5ncnktZ2Vlc2U=, OK
159.197.26.7, cGluIDE0NTA4IHBpZ3M=, OK
44.104.97.235, cmVpdGVyYXRlIDExNDA2IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
121.239.14.214, cGx1Y2sgMjU1MzYgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
190.185.233.63, cGluIDYzMDEgZ2Vlc2U=, OK
13.166.245.92, YXJ0aWN1bGF0ZSAyNDM4NyBiaWctYmlyZHM=, OK
202.82.241.179, ZGVtb2xpc2ggMzAwNDIgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
1.0.169.69, cGluIDUzMDkgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
84.74.101.239, cmVpdGVyYXRlIDIzMDMzIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
22.133.173.111, cGljayA1NDA3IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
181.78.43.85, Y29udnVsc2UgNjc3NiBhbmdyeS1nZWVzZQ==, OK
102.69.214.96, ZGVzdHJveSAxNTAxOCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
62.187.250.5, Y29udnVsc2UgMTg0NzQgZmxpZXM=, OK
35.3.107.248, cGluIDg1OTEgbWVkaXVtLXNpemVkLWJpcmRz, OK
20.132.226.17, cmV0cmVhdCAxOTMwIHNtYWxsLWJpcmRz, OK
177.221.116.240, cmVpdGVyYXRlIDQ5NTMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
42.81.73.43, cmV2ZWFsIDE4Nzk4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
