107.232.94.170, ZGVzdHJveSAxMDEzNCBiaWctYmlyZHM=, OK
159.197.26.7, ZGVzdHJveSAxOTQ2MiBiaWctYmlyZHM=, OK
121.108.153.63, cGx1Y2sgMTczMzcgbWVkaXVtLXNpemVkLWJpcmRz, OK
161.123.142.23, cGluIDIxOTA4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
194.33.101.29, cmV0cmVhdCAyMjYyMyBmbGllcw==, OK
180.193.241.23, cGluIDg1MjggY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
79.219.208.224, Y29uY2VhbCAyMjUyNiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
139.166.23.156, ZGVzdHJveSAyMDk3NSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
83.57.49.118, cGx1Y2sgMjE3MzMgZ2Vlc2U=, OK
32.133.149.99, cGljayAyNDkxNCBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
26.67.117.151, ZGVtb2xpc2ggMjA1MjYgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
41.23.239.113, cmV2ZWFsIDYzOTIgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
97.227.93.173, cGluIDE2NDUzIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
58.43.141.197, Y29udnVsc2UgNjIyMCBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
37.150.85.158, cGx1Y2sgMzA3NTIgZ2Vlc2Utd2hvLWxpc3Rlbi10by1oZWF2eS1tZXRhbA==, OK
126.244.122.199, cmV2ZWFsIDE2NTEwIGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
77.238.23.103, cGluIDIwNTUgbWVkaXVtLXNpemVkLWJpcmRz, OK
136.53.203.233, cGljayAyNTE0NCBkdWNrcw==, OK
31.9.94.134, Y29uY2VhbCA0NjY3IGNoaWNrZW5z, OK
28.68.43.239, cGluIDE2MTY4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
136.127.113.206, cGluIDQxNTMgYmlnLWJpcmRz, OK
42.58.54.6, cGljayAxOTE1NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
206.36.183.27, YXJ0aWN1bGF0ZSAyNzUyNSBjaGlja2Vucw==, OK
24.229.6.71, Y29udnVsc2UgMzYyNyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
23.245.212.57, cGluIDkxMDQgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
195.201.4.201, cGluIDEzMDYxIG1lZGl1bS1zaXplZC1iaXJkcw==, OK
18.219.90.216, cmVpdGVyYXRlIDg0NjMgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
136.226.91.148, ZGVzdHJveSA2OTAyIGZsaWVz, OK
29.163.177.72, cGljayAyNTUwIGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
158.224.50.227, YXJ0aWN1bGF0ZSA0NTE0IHNtYWxsLWJpcmRz, OK
79.213.236.217, Y29udnVsc2UgMTQ3MzUgbWVkaXVtLXNpemVkLWJpcmRz, OK
134.108.99.215, cmV0cmVhdCAxNDQxMyBwaWdz, OK
32.32.196.247, YXJ0aWN1bGF0ZSAxNDY0IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
83.217.104.213, ZGVtb2xpc2ggMjI0NjUgc21hbGwtYmlyZHM=, OK
193.222.40.164, cGluIDE5OTg3IGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
162.89.46.165, ZGVtb2xpc2ggMzA3MDAgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
171.206.82.125, YXJ0aWN1bGF0ZSAyNjQ0MCBwaWdz, OK
20.16.112.47, cmV0cmVhdCAyMzkwMSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
13.202.58.234, cGluIDMyNjI1IGR1Y2tz, OK
