216.163.38.154, cmVpdGVyYXRlIDEzMyBiaWctYmlyZHM=, OK
34.10.85.86, Y29uY2VhbCAzMTgxNSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
96.221.253.172, cGluIDI5NDQ1IHNtYWxsLWJpcmRz, OK
114.104.56.66, cGljayAxNTkwNSBiaWctYmlyZHM=, OK
145.141.241.88, cmV0cmVhdCAxMjQ2MiBhbmdyeS1nZWVzZQ==, OK
41.123.15.11, cmV2ZWFsIDE2Njc1IGFuZ3J5LWdlZXNl, OK
181.224.76.210, cGljayAxMDE2MSBmbGllcw==, OK
172.5.102.13, Y29udnVsc2UgMjY4NzkgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
202.82.241.179, cmV0cmVhdCAyNzMyOCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
14.173.189.49, Y29udnVsc2UgMjAxMTkgbWVkaXVtLXNpemVkLWJpcmRz, OK
77.248.111.76, YXJ0aWN1bGF0ZSAzMjMwOSBmbGllcw==, OK
45.247.136.64, Y29uY2VhbCAyNjA0NyBnZWVzZQ==, OK
110.182.121.81, ZGVzdHJveSA3ODU0IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
28.5.135.93, cmVpdGVyYXRlIDc1MTcgZmxpZXM=, OK
221.26.187.104, Y29uY2VhbCAxMTg4MCBzbWFsbC1iaXJkcw==, OK
79.213.236.217, Y29uY2VhbCAyMTk1IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
173.170.121.190, cGluIDUzNDcgYW5ncnktZ2Vlc2U=, OK
63.184.127.127, cmV2ZWFsIDI1NTU1IGZsaWVz, OK
69.61.212.135, cmV2ZWFsIDIwMzI4IGR1Y2tzLXdoby1hcmUtcGFjaWZpc3Rz, OK
75.121.86.104, Y29uY2VhbCAyNzg1OCBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
74.66.250.251, YXJ0aWN1bGF0ZSA3MjQgY2hpY2tlbnM=, OK
196.129.90.243, cGljayAzNTI4IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
87.69.250.11, Y29udnVsc2UgODY3NiBjYXRzLXRoYXQtd291bGQtbGlrZS10by1iZS1kb2dz, OK
53.82.222.249, cmV0cmVhdCAzMDMzNiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
73.149.109.44, cmV2ZWFsIDExNjI1IGZsaWVz, OK
79.213.236.217, cGx1Y2sgMTUxNTUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
61.2.126.216, ZGVzdHJveSA4OTYyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
