34.10.85.86, cGljayAyMzAzMCBwaWdz, OK
221.234.176.73, ZGVtb2xpc2ggMTg1MjggYW5ncnktZ2Vlc2U=, OK
126.244.122.199, cmV2ZWFsIDI3Njg1IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
86.157.141.109, cmV2ZWFsIDMzMjUgZmxpZXM=, OK
114.104.56.66, cGx1Y2sgMjYwOTQgc21hbGwtYmlyZHM=, OK
113.172.153.51, Y29uY2VhbCA5OTYgY2hpY2tlbnM=, OK
115.214.210.138, cGljayAyMzU4NiBhbmdyeS1nZWVzZQ==, OK
36.110.253.88, cGluIDI4MDU1IGR1Y2tzLXdoby1oYXRlLWdlZXNl, OK
163.103.66.40, Y29udnVsc2UgMTUzNzcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
210.88.110.118, cmV0cmVhdCAzMDM2NSBhbmdyeS1nZWVzZQ==, OK
7.137.31.5, cGx1Y2sgMjUxNzMgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
121.239.14.214, YXJ0aWN1bGF0ZSAyMzEzIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
132.131.110.230, Y29udnVsc2UgMjAzMDAgY2hpY2tlbnM=, OK
75.151.226.170, ZGVtb2xpc2ggMzAzNDYgZG9ncy13aG8tc2VjcmV0bHktd2FudC10by1iZS1nZWVzZQ==, OK
210.74.24.17, cGx1Y2sgNDkgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
168.130.217.218, cmVpdGVyYXRlIDE4MDAgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
91.206.217.101, YXJ0aWN1bGF0ZSAxMjU2OSBjaGlja2Vucw==, OK
202.134.172.48, cmVpdGVyYXRlIDMwMzQ4IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
218.179.133.14, cGluIDUxODQgZ2Vlc2U=, OK
115.214.210.138, cmV2ZWFsIDE5ODU1IGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
39.32.158.172, cGx1Y2sgMzI0Mzkgc21hbGwtYmlyZHM=, OK
181.69.169.14, ZGVzdHJveSAyNDI2NSBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
75.121.86.104, Y29udnVsc2UgMjA2MTMgYW5ncnktZ2Vlc2U=, OK
148.244.65.43, cGljayA1ODAxIGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
205.172.120.159, cGljayAxOTM4NCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
107.246.29.240, Y29udnVsc2UgMTUyMzMgZHVja3M=, OK
109.233.194.150, Y29udnVsc2UgNTQwNSBhbmdyeS1nZWVzZQ==, OK
37.189.60.21, Y29udnVsc2UgNTAxNyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
