175.83.206.13, ZGVzdHJveSAzMjMyMSBwaWdz, OK
160.154.221.44, ZGVzdHJveSAyODY3OCBzbWFsbC1iaXJkcw==, OK
117.193.231.168, cmV0cmVhdCA1NjYgc21hbGwtYmlyZHM=, OK
148.236.124.217, YXJ0aWN1bGF0ZSAxOTMzNCBwaWdz, OK
65.44.5.45, cGljayA2NzI4IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
89.241.196.237, Y29uY2VhbCA3NzY3IG1lZGl1bS1zaXplZC1iaXJkcw==, OK
45.247.136.64, Y29udnVsc2UgMTUxOTIgY2hpY2tlbnM=, OK
123.142.33.85, cGljayAyNDU5MSBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
105.85.211.6, Y29uY2VhbCAxMjQyMyBwaWdz, OK
24.229.6.71, Y29udnVsc2UgMzIzMDUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
78.225.234.124, cGljayAxNDEwMyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
208.96.107.241, cmVpdGVyYXRlIDE0ODEwIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
58.178.72.73, cGluIDMxMjI0IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
68.192.53.51, cGluIDg3MTYgYW5ncnktZ2Vlc2U=, OK
122.9.31.214, YXJ0aWN1bGF0ZSAzMTkxOCBnZWVzZQ==, OK
143.163.122.204, cGx1Y2sgMjQxODkgZ2Vlc2U=, OK
92.25.82.181, cGljayAxMTk1NyBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
84.130.208.220, ZGVzdHJveSAyNTUzMiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
77.238.23.103, Y29udnVsc2UgMTYwMDIgZHVja3M=, OK
45.211.170.19, YXJ0aWN1bGF0ZSAxNjcxNyBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
35.225.248.181, YXJ0aWN1bGF0ZSAxMzcwOCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
126.244.122.199, cGx1Y2sgMTg5NzggZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
155.185.39.116, cGx1Y2sgNzcyMCBnZWVzZQ==, OK
148.250.46.230, cmVpdGVyYXRlIDIxNjgzIGNhdHMtdGhhdC13b3VsZC1saWtlLXRvLWJlLWRvZ3M=, OK
134.133.26.189, YXJ0aWN1bGF0ZSAyODY2MSBjaGlja2Vucw==, OK
201.2.101.130, cGljayAxNTk5NyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
114.104.56.66, YXJ0aWN1bGF0ZSAyMTU3MSBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
139.36.156.243, cmV2ZWFsIDg4NzUgZHVja3Mtd2hvLWhhdGUtZ2Vlc2U=, OK
147.123.69.97, cGluIDIzMjI2IGdlZXNlLXdpdGgtcGVyc29uYWxpdHktZGlzb3JkZXJz, OK
142.179.243.165, cmV2ZWFsIDI4MTg4IGdlZXNl, OK
201.2.101.130, cGluIDUzMzkgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
125.34.6.39, cGljayAzMDY4NiBiaWctYmlyZHM=, OK
