164.131.134.217, cGljayAzMTAzMCBmbGllcw==, OK
155.237.212.159, cmV0cmVhdCA4MzUzIGFuZ3J5LWdlZXNl, OK
217.93.54.204, ZGVzdHJveSAxOTE0NCBjYXRzLXRoYXQtcHJlZmVyLWNsYXNzaWNhbC1tdXNpYw==, OK
216.163.38.154, cmV0cmVhdCAzMDYwMCBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
96.217.226.144, cGljayAxNjQwMCBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
53.195.216.149, cGluIDE5MDk1IGdlZXNl, OK
15.41.161.186, Y29uY2VhbCAzNTAxIGR1Y2tz, OK
66.56.94.33, dW5kZXJzdGFuZCAyNTc3NSBwZWFjZS1sb3ZpbmctZ2Vlc2U=, please-make-it-stop
98.159.136.149, cmV2ZWFsIDMwNjcwIGNoaWNrZW5z, OK
82.118.32.172, cGljayAyMjcyMSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
23.53.32.49, ZGVzdHJveSAyNjE4MCBiaWctYmlyZHM=, OK
130.65.15.183, YXJ0aWN1bGF0ZSAzMjQzOSBkdWNrcy13aG8taGF0ZS1nZWVzZQ==, OK
65.31.71.65, ZGVtb2xpc2ggNTQ0NyBjaGlja2Vucw==, OK
138.150.8.71, cGljayAyNzAxMiBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
72.247.208.192, cGx1Y2sgMjU2NDAgZHVja3M=, OK
35.225.248.181, dW5waW4gMTM3MiBtaW5vdGF1cnM=, ouch-that-hurt!
62.136.98.60, ZGVzdHJveSA4MDQ4IGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
49.75.126.90, cmV0cmVhdCAzNTY4IGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
145.178.26.187, cmV2ZWFsIDE4NDUgZ2Vlc2U=, OK
62.139.79.237, cmV0cmVhdCAzMTA0MSBnZWVzZS13aXRoLXBlcnNvbmFsaXR5LWRpc29yZGVycw==, OK
143.238.143.123, cmV2ZWFsIDExMzQgYW5ncnktZ2Vlc2U=, OK
152.86.175.152, cmV2ZWFsIDc2MzUgcGlncw==, OK
118.64.72.33, ZGVtb2xpc2ggMjQ3OCBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
211.190.183.113, dW5waW4gMTc2MjAgcGVhY2UtbG92aW5nLWdlZXNl, ouch-that-hurt!
124.54.1.70, Y29uY2VhbCAyMjEzOSBmbGllcw==, OK
86.253.92.193, YXJ0aWN1bGF0ZSA3NjQyIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
174.15.144.46, Y29udnVsc2UgMzEzNzMgZmxpZXM=, OK
11.4.206.59, YXJ0aWN1bGF0ZSAyNTA1MSBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
