69.61.212.135, cmVpdGVyYXRlIDEyMjcyIHNtYWxsLWJpcmRz, OK
123.245.42.67, cmV0cmVhdCAxNzAzMCBkdWNrcy13aG8tYXJlLXBhY2lmaXN0cw==, OK
190.250.246.216, ZGVtb2xpc2ggMjg3NzcgY2F0cy10aGF0LXdvdWxkLWxpa2UtdG8tYmUtZG9ncw==, OK
27.92.63.139, cmV0cmVhdCAxNzkyMCBmbGllcw==, OK
90.104.161.151, cmV2ZWFsIDY0ODggYW5ncnktZ2Vlc2U=, OK
157.152.248.114, cmV2ZWFsIDExMDYwIGNoaWNrZW5z, OK
221.26.187.104, YXJ0aWN1bGF0ZSAyMTg3MiBtZWRpdW0tc2l6ZWQtYmlyZHM=, OK
13.202.58.234, cmV0cmVhdCAxMzkzOSBwaWdz, OK
1.102.54.93, Y29uY2VhbCAyOTkwMyBkb2dzLXdoby1zZWNyZXRseS13YW50LXRvLWJlLWdlZXNl, OK
107.246.29.240, cmVpdGVyYXRlIDE2MzAxIGRvZ3Mtd2hvLXNlY3JldGx5LXdhbnQtdG8tYmUtZ2Vlc2U=, OK
206.36.183.27, cmV2ZWFsIDIzMjIyIGdlZXNlLXdoby1saXN0ZW4tdG8taGVhdnktbWV0YWw=, OK
42.73.85.62, cmV2ZWFsIDI4MDIwIGR1Y2tz, OK
148.153.164.44, cGx1Y2sgMjU1NzUgZ2Vlc2Utd2l0aC1wZXJzb25hbGl0eS1kaXNvcmRlcnM=, OK
55.25.215.34, cGljayAyMTA5MyBnZWVzZS13aG8tbGlzdGVuLXRvLWhlYXZ5LW1ldGFs, OK
141.34.209.77, cmV2ZWFsIDI3OTE0IGZsaWVz, OK
168.130.217.218, ZGVzdHJveSAyODk0OSBmbGllcw==, OK
96.197.47.131, YXJ0aWN1bGF0ZSAxOTE4MCBmbGllcw==, OK
58.30.69.74, cGx1Y2sgMTkwNDEgbWVkaXVtLXNpemVkLWJpcmRz, OK
36.244.31.251, ZGVzdHJveSAxODY1IGR1Y2tz, OK
43.85.183.77, ZGVtb2xpc2ggMzA4MyBkdWNrcw==, OK
115.214.210.138, ZGVzdHJveSAzMzYwIGNhdHMtdGhhdC1wcmVmZXItY2xhc3NpY2FsLW11c2lj, OK
92.25.82.181, cmVpdGVyYXRlIDIzNzYgY2F0cy10aGF0LXByZWZlci1jbGFzc2ljYWwtbXVzaWM=, OK
